# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1442895052
# output
#   file = output_cal_g_7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.540499
# Diagonal elements of inverse mass matrix:
# 0.0234787, 0.00908859, 0.0344872, 0.0196364, 0.0494435, 0.0117406, 0.0140701, 0.0103714, 0.00878799, 0.0502416, 0.0163427, 0.0125281, 0.0422884, 0.013584, 0.0856487, 0.0246641, 0.0113008
-2605.87,0.837722,0.540499,3,7,0,2613.7,52.6208,30.6267,170.045,41.9374,94.8992,62.2784,34.7402,18.3402,57.0578,9.61648,82.8945,93.8749,35.7022,23.992,72.0158,0.256003,0.194805,-34.857,-43.2862,-42.2051,-52.2348,-42.4411,-39.9894,-54.985,-43.4096,-42.1086,-46.4724,-54.2476,-46.9772,-35.8598,-43.4582,-45.7061,-44.0535,-36.4116,-35.9898,-44.3472,-42.191,-35.9008,-44.8815,-35.0553,-52.9871,-41.0202,-45.2993,-37.7934,-38.3121,-32.1983,-43.8044,-40.0481,-39.5298,-49.2402,-54.5051,-37.1573,-38.7144,-35.411,-38.9691,-44.2199,-53.5101,-51.6255,-48.5788,-49.5152,-48.8212,-37.2141,-32.9323,-42.2096,-41.0678,-48.2157,-35.7991,-42.6828,-44.0732,-41.7369,-37.1977,-47.4467,-27.1854,-44.967,-58.3325,-47.7392,-32.842,-41.3203,-44.9718
-2601.51,0.940594,0.540499,3,7,0,2610.43,51.2723,28.2195,176.499,34.0285,111.395,80.0733,61.9695,19.0309,57.0747,19.2381,72.6987,88.1646,21.9408,34.0994,80.7364,0.244516,0.211876,-35.0501,-42.3395,-42.2846,-50.4126,-42.0179,-40.5135,-55.5032,-43.4173,-41.5298,-46.9601,-52.0072,-45.3015,-35.7521,-43.3461,-44.9691,-43.5318,-37.4655,-36.193,-45.3723,-40.6201,-35.4468,-46.4603,-35.208,-51.6482,-38.1366,-44.4832,-37.0591,-38.732,-32.7609,-42.7017,-38.9478,-40.7069,-48.3295,-55.349,-37.0849,-37.5027,-35.0323,-39.1893,-44.262,-52.6353,-50.9522,-51.8168,-50.4099,-51.7339,-39.6881,-32.9452,-44.2193,-41.4935,-47.0248,-34.7717,-41.7071,-44.7843,-40.5143,-36.9484,-47.939,-28.8164,-45.5335,-56.9853,-46.9735,-34.1415,-42.3198,-44.8825
-2604.92,0.930489,0.540499,3,7,0,2610.72,53.7125,31.0273,172.418,43.4821,96.1503,62.8476,42.6462,12.4512,58.5981,12.1193,82.0796,94.7128,22.8777,28.194,79.5989,0.247143,0.194772,-34.5356,-42.6279,-42.4549,-51.1058,-42.0032,-39.9415,-55.2779,-43.5738,-41.5054,-47.2846,-52.893,-46.3451,-35.2362,-42.6712,-45.8019,-43.7555,-36.7739,-35.8305,-44.8377,-41.9271,-35.6754,-45.6647,-35.0838,-52.8345,-40.6148,-45.7692,-37.655,-38.5104,-32.5441,-44.043,-40.0252,-39.9025,-49.2753,-55.0905,-37.005,-37.4912,-35.2685,-38.8076,-43.6633,-53.7534,-52.5763,-48.964,-49.7789,-49.8019,-37.8705,-32.8916,-42.7118,-41.5961,-48.5097,-35.2334,-42.7155,-44.5177,-41.8203,-36.6917,-47.5895,-26.5632,-44.8967,-58.5505,-47.9917,-32.6741,-41.4399,-44.7544
-2603.69,0.817678,0.540499,3,7,0,2617.49,50.2663,28.25,173.432,30.5612,102.333,77.1194,53.1841,22.1831,51.5136,18.5662,69.9822,80.5294,21.912,32.4853,63.0436,0.24117,0.222026,-35.2285,-42.6253,-42.5927,-50.7965,-42.1846,-40.4042,-55.8158,-43.7859,-41.497,-46.2523,-52.6986,-45.2875,-35.935,-44.0207,-45.1046,-43.5028,-37.5174,-36.3305,-45.3032,-40.7865,-35.4591,-46.608,-35.1206,-50.8316,-38.6669,-44.6582,-37.0603,-38.85,-32.5205,-42.6042,-38.6423,-40.4076,-48.1967,-55.3279,-37.113,-38.481,-35.2657,-39.392,-44.6524,-53.2594,-50.215,-51.8009,-51.0691,-50.4113,-39.2765,-33.0555,-44.697,-41.4776,-46.3643,-34.8518,-41.9699,-44.4892,-40.0848,-37.182,-47.9576,-28.9012,-45.1809,-56.8498,-46.5033,-34.4551,-42.1024,-44.8331
-2604.7,0.948102,0.540499,3,7,0,2613.63,41.5987,31.2761,170.282,33.8933,96.4776,71.4517,56.6337,19.5532,53.9264,17.2236,61.202,92.5807,29.3168,28.0317,82.4899,0.220771,0.229614,-34.661,-42.6354,-42.6667,-51.8113,-41.9387,-40.4018,-54.6182,-43.4188,-41.958,-47.7692,-53.1118,-45.7027,-36.035,-44.8303,-45.2546,-44.5012,-37.1521,-36.5568,-44.5509,-41.1675,-36.058,-46.233,-35.1077,-54.2414,-38.0821,-44.6957,-37.6076,-38.4601,-32.1749,-42.6605,-39.2863,-39.8293,-47.5356,-55.5338,-37.5004,-37.4511,-35.2578,-39.1267,-44.2458,-52.6051,-50.1555,-51.0853,-50.92,-50.8921,-38.6806,-33.4713,-44.1547,-40.7039,-46.5516,-34.8222,-42.7004,-43.6798,-40.5707,-37.3288,-48.1038,-28.5482,-45.4282,-55.4166,-47.0998,-34.0988,-42.1168,-44.5849
-2605.95,0.972988,0.540499,3,7,0,2615.14,65.7594,30.0797,185.274,39.4668,112.382,69.4577,45.6812,17.2889,64.0966,12.3325,100.788,90.3874,22.9521,33.5908,91.7306,0.288278,0.182076,-35.5201,-43.0889,-41.9694,-50.3158,-41.936,-40.0353,-55.7139,-43.4149,-42.1555,-45.7823,-52.8451,-46.3225,-35.3495,-42.3783,-45.5853,-42.8543,-36.8193,-35.4692,-45.5002,-42.1814,-34.8841,-45.3634,-35.0077,-50.4279,-40.4591,-46.1561,-37.4131,-38.7655,-33.149,-44.1096,-39.9308,-40.6013,-49.9467,-54.4297,-36.476,-38.1942,-35.3246,-38.824,-44.1692,-54.1528,-53.0695,-49.2008,-49.2894,-49.7676,-38.8109,-32.456,-42.3411,-42.0337,-48.948,-35.0006,-41.761,-45.5286,-41.9388,-36.5463,-47.3758,-27.5163,-45.7458,-59.8507,-47.8321,-32.7658,-41.6661,-44.8682
