# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1351596346
# output
#   file = output_cal_g_Kgamma_EPs_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.264068
# Diagonal elements of inverse mass matrix:
# 0.0559556, 0.0179559, 0.205714, 0.04314, 0.0857114, 0.0296586, 0.0248572, 0.0303855, 0.0142802, 0.0555729, 0.0483159, 0.105796, 0.0626957, 0.02123, 0.247225, 0.0933283, 0.285205, 0.1255, 0.190648, 0.197235, 0.286539, 0.0604471, 0.160574, 0.479764, 0.0455356, 0.654566, 0.482236, 0.141493, 0.721555, 0.114224, 0.662062, 0.482835, 0.0958762
-2591.96,0.943784,0.264068,4,15,0,2606.09,92.488,45.0447,251.869,36.3307,201.573,113.689,59.2459,26.0916,73.6789,18.5168,146.012,203.471,38.4475,42.1035,82.7839,0.515546,0.125277,0.163128,0.18119,0.430026,0.043295,0.210307,0.519432,0.067725,0.387224,0.279282,0.0599072,0.0377351,0.0179067,0.335936,0.0343397,-1.87168,1.1645,-32.9125,-42.0344,-40.3433,-53.0359,-41.9981,-40.4223,-56.2745,-42.1118,-37.9105,-48.7596,-49.7651,-45.9524,-34.844,-41.1339,-45.8671,-43.7812,-37.6392,-34.004,-43.7311,-41.0373,-33.788,-44.1531,-35.3638,-49.6677,-39.7872,-43.6783,-37.9545,-38.7772,-33.4804,-44.1487,-37.4699,-41.8423,-50.062,-54.6709,-36.5877,-37.5456,-35.8141,-37.6663,-43.476,-49.3125,-53.1086,-52.2095,-48.3209,-52.7042,-42.376,-32.5562,-42.9591,-41.413,-46.9006,-34.8173,-41.6945,-47.1815,-41.3288,-36.3196,-45.5403,-27.4688,-43.7379,-57.957,-47.193,-32.5653,-42.4132,-45.7177
-2591.68,0.87614,0.264068,4,15,0,2610.9,87.3077,39.9318,272.146,47.0986,130.33,98.0048,79.9041,22.6651,64.1552,16.2569,137.786,152.982,46.2059,32.066,92.341,0.481751,0.0191111,0.181862,0.0962448,0.245827,0.193237,0.181801,0.185426,0.0785362,0.414896,0.230634,0.0658484,0.0481239,0.237088,0.462567,0.20111,-1.18414,0.974791,-35.2691,-42.1947,-41.0006,-52.7556,-42.7992,-41.1783,-56.3775,-42.3795,-41.3908,-47.8816,-51.0712,-46.1093,-35.8016,-40.8269,-46.4425,-42.493,-37.9369,-34.7492,-43.8409,-40.9576,-33.7782,-44.8565,-34.824,-47.4004,-39.3512,-43.7664,-38.3659,-38.0273,-35.2027,-43.6738,-38.3015,-40.9849,-49.7938,-53.8917,-36.3507,-36.818,-35.2957,-38.2974,-44.778,-50.511,-50.7321,-50.4756,-48.5269,-49.5874,-39.3905,-32.1596,-41.3868,-40.6486,-47.4441,-35.1351,-41.3125,-47.4747,-42.9539,-37.1413,-45.9039,-27.93,-45.6691,-58.1493,-46.4328,-33.6202,-42.6237,-45.179
-2594.07,0.980377,0.264068,5,31,0,2609.48,46.9978,34.8072,231.366,41.7885,159.577,86.7327,56.4191,23.4266,62.3856,14.7749,107.013,145.666,43.3927,40.2708,73.7679,0.377431,0.183134,0.224458,0.218724,0.348606,0.0843766,0.249164,0.464102,0.0253877,0.414243,0.251755,0.140451,0.0435479,0.0192254,0.292919,0.0370813,-1.97304,1.48949,-33.4457,-43.3953,-41.4103,-52.8708,-42.674,-39.5286,-56.1073,-43.343,-37.8958,-48.1379,-50.4727,-45.878,-35.0931,-42.4358,-44.951,-44.0864,-37.1691,-34.8836,-43.6018,-40.9938,-34.8081,-45.552,-35.2507,-49.7695,-39.6044,-43.9911,-38.2623,-38.386,-32.4159,-44.4331,-37.9076,-41.524,-50.0145,-55.3474,-37.0848,-37.1305,-35.6632,-38.5192,-43.8056,-50.7206,-51.2262,-51.0051,-48.0718,-51.2275,-40.7577,-31.9754,-43.5441,-41.3296,-47.653,-34.085,-40.2802,-47.2852,-41.091,-36.0838,-45.4109,-26.7529,-44.1369,-59.2334,-45.326,-32.9348,-42.1559,-44.6304
-2589.29,0.999657,0.264068,4,31,0,2606.96,56.6231,29.4423,172.577,35.5509,89.4187,71.1332,57.1249,18.6184,52.4711,13.5271,96.9748,115.51,26.4502,23.2595,90.1961,0.312004,0.03049,0.211956,0.0910111,0.224073,0.137215,0.267741,0.107273,0.191,0.355643,0.244499,0.0576478,0.0916694,0.105898,0.408827,0.142555,-1.94112,0.806889,-33.1265,-41.9593,-40.6405,-51.4892,-42.3767,-42.1189,-56.1552,-42.7213,-41.7338,-47.6779,-52.017,-46.0811,-35.587,-39.8342,-46.3461,-42.8958,-38.4351,-35.2496,-44.4407,-41.018,-34.5573,-45.37,-34.5583,-49.4147,-38.9676,-43.7518,-38.2739,-39.3636,-32.1364,-43.3027,-39.0771,-40.6209,-48.1739,-54.3633,-37.478,-37.2257,-35.1114,-38.7183,-44.9585,-50.1332,-49.4542,-52.1329,-49.8715,-50.1884,-39.0137,-32.3771,-42.8899,-41.2595,-45.627,-34.5505,-42.1027,-45.2412,-40.4993,-36.9299,-47.2982,-28.6553,-44.3813,-56.598,-46.6848,-33.9678,-42.2389,-45.2226
-2590.46,0.576691,0.264068,5,31,0,2613.97,83.3183,47.1915,265.539,40.8689,156.599,109.928,58.5796,39.1051,73.7295,19.8423,139.541,226.124,46.9625,34.2373,126.715,0.679683,0.15313,0.134584,0.144323,0.285771,0.10288,0.178395,0.358631,0.0856559,0.424794,0.378512,0.00792623,0.0167977,0.0992102,0.419304,0.149017,-1.58617,1.69091,-34.495,-41.8917,-40.4989,-53.2327,-42.5764,-40.8112,-56.1969,-41.2263,-40.4269,-50.0339,-50.4156,-46.5658,-35.6322,-41.7491,-47.0952,-43.8278,-37.8833,-34.1343,-43.3844,-41.5405,-33.6513,-44.2854,-35.2572,-47.8781,-38.5506,-43.3046,-39.1854,-39.0456,-33.4245,-43.6997,-38.1917,-41.8557,-49.7651,-54.0353,-36.8699,-37.6918,-36.6089,-37.844,-44.4698,-47.2143,-50.2426,-51.0213,-47.977,-50.9577,-39.792,-32.639,-41.8903,-40.7266,-46.1563,-34.6555,-40.5992,-48.0098,-41.3805,-37.1898,-45.6115,-28.2677,-44.6443,-56.8862,-46.9086,-34.0172,-42.7782,-45.449
-2588.98,0.943191,0.264068,4,15,0,2604.37,100.314,39.9469,233.509,48.7044,162.919,95.8912,76.5553,23.4592,69.3812,15.3806,92.0451,169.989,48.9555,37.4333,106.392,0.356821,0.0345316,0.247477,0.289763,0.27421,0.112572,0.198066,0.197146,0.16515,0.400818,0.474181,0.0777494,0.0696058,0.0752662,0.320473,0.175668,-1.48937,1.25088,-34.2847,-44.2642,-41.2952,-53.42,-41.4294,-39.8595,-54.9746,-42.0625,-40.0422,-51.0733,-50.1571,-45.4564,-35.2446,-44.9578,-46.1791,-45.2786,-36.6853,-34.422,-42.38,-40.4959,-34.7773,-44.86,-36.2911,-50.6451,-38.9218,-43.9561,-37.0959,-38.4084,-33.5975,-42.4639,-37.8989,-40.3904,-48.4319,-55.1383,-36.7137,-37.9914,-35.3552,-37.8525,-44.0397,-49.175,-52.4159,-50.1867,-47.994,-51.1059,-39.4674,-32.8538,-43.1498,-40.1064,-47.6233,-35.5648,-42.0614,-46.1775,-41.9504,-37.5062,-45.8277,-28.0079,-44.5218,-57.3198,-47.0584,-33.0726,-41.5624,-43.884
