# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kpsi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1350769023
# output
#   file = output_cal_g_Kpsi_EPs_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,log_psi.14,log_psi.15,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,psi.14,psi.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.233297
# Diagonal elements of inverse mass matrix:
# 0.0559425, 0.0152175, 0.0504046, 0.0438563, 0.0691927, 0.009068, 0.0380129, 0.0296904, 0.0163488, 0.045998, 0.0685973, 0.0762816, 0.091188, 0.0121621, 0.131377, 0.0351396, 0.404866, 0.174159, 0.060875, 0.331507, 0.188223, 0.748806, 0.0809073, 0.248708, 0.156411, 0.489722, 0.37581, 0.123165, 0.399158, 0.0560793, 0.378754, 0.0647438, 0.180219
-2598.13,0.935491,0.233297,4,31,0,2614.45,47.5129,24.7923,173.931,42.5008,95.1365,62.9266,50.2908,21.3801,58.7072,13.3972,98.3263,125.143,35.2088,29.9433,39.6212,0.169449,-1.55582,-1.79005,-1.50621,-1.53149,-1.4352,-2.07303,-1.2891,-0.716672,-1.47104,-1.43464,-0.920692,-0.963921,-0.876229,-1.70514,-1.9972,-1.59583,0.789847,0.211016,0.166952,0.221748,0.216213,0.238067,0.125804,0.275518,0.488375,0.229687,0.238202,0.398243,0.381394,0.41635,0.181747,0.135715,-34.0745,-42.2194,-42.7712,-50.3317,-43.5766,-40.7598,-55.2788,-43.2611,-39.7667,-46.1496,-52.5579,-46.2674,-35.1334,-41.9737,-44.9949,-43.565,-36.9804,-36.0455,-44.664,-40.2909,-35.8311,-45.8461,-33.6189,-53.8539,-40.6288,-43.3191,-37.2222,-37.8194,-30.7386,-42.7812,-39.7415,-40.387,-48.7634,-55.0123,-37.0737,-38.3619,-34.5908,-39.0439,-43.8381,-52.6398,-51.7185,-49.7613,-48.8255,-51.3422,-36.8715,-32.7072,-43.492,-41.2715,-48.0483,-34.3408,-42.4646,-44.4338,-40.9358,-36.1229,-48.1697,-27.697,-44.9826,-57.786,-47.8245,-33.4739,-41.4464,-46.4952
-2601.7,0.861067,0.233297,4,31,0,2616,41.69,24.3888,178.742,40.9992,88.6882,62.3327,50.4979,23.8709,59.2102,13.1998,99.2693,132.81,33.6303,31.0033,45.7129,0.1843,-1.51392,-1.76425,-1.63703,-1.52993,-1.38793,-1.89921,-1.33465,-0.932613,-1.57982,-0.927632,-1.03534,-0.813531,-0.684789,-1.69284,-1.98775,-1.49086,0.576002,0.220046,0.171315,0.194557,0.21655,0.249591,0.149687,0.26325,0.393524,0.206013,0.395489,0.355105,0.44329,0.504197,0.183996,0.137003,-35.0243,-43.1139,-44.1675,-50.2527,-43.3315,-40.1571,-55.3021,-44.2192,-39.8599,-46.1429,-52.2044,-46.4963,-35.4932,-43.8432,-44.8079,-42.605,-36.3699,-36.0047,-44.5043,-41.2735,-35.5867,-45.9107,-33.5404,-55.5829,-40.1858,-44.0354,-37.5097,-37.7591,-30.0709,-42.8409,-40.5807,-40.6162,-48.7991,-54.9234,-36.6756,-38.0197,-34.4811,-39.1241,-43.9329,-52.8168,-50.5725,-49.4357,-49.23,-51.0905,-36.7658,-31.977,-43.5123,-41.3611,-48.9395,-34.0724,-42.7809,-44.2782,-40.9926,-35.872,-48.2355,-28.0062,-45.8131,-58.918,-48.3411,-33.0255,-41.2456,-46.5509
-2601.22,0.953366,0.233297,5,63,0,2619,45.6377,26.1957,186.953,36.7009,122.739,55.5282,59.1787,15.2036,50.6364,14.8224,116.678,96.9423,11.9723,28.1796,99.6843,0.20839,-1.26577,-1.67265,-0.808883,-1.01219,-1.13193,-2.00298,-1.21026,-1.6033,-1.67052,-0.515988,-0.335272,-1.10891,-1.8708,-1.2547,-1.55879,-1.19902,0.444221,0.282023,0.187749,0.445355,0.363421,0.322411,0.134933,0.298119,0.201232,0.188149,0.59691,0.715143,0.329918,0.154001,0.285162,0.21039,-35.1704,-43.0968,-39.689,-50.0508,-41.925,-42.4925,-55.81,-43.6682,-42.5808,-44.6468,-53.4514,-46.7806,-36.3457,-42.7219,-45.7178,-42.973,-38.1381,-35.8057,-45.4532,-41.4209,-35.1195,-45.2379,-33.4146,-52.3351,-37.8273,-45.4518,-38.0871,-39.0911,-31.3326,-43.2921,-40.1881,-40.4916,-48.6206,-55.9724,-37.062,-36.7707,-35.8131,-38.9793,-43.9616,-54.1275,-48.3525,-51.069,-50.8925,-51.5711,-38.3517,-33.0239,-42.562,-41.8533,-47.23,-31.4161,-41.8477,-44.8566,-41.2535,-35.5573,-48.1538,-27.9576,-45.6932,-55.5309,-48.0744,-33.1273,-42.7253,-45.7639
-2593.1,0.997888,0.233297,4,15,0,2617.02,48.2055,30.4111,177.21,34.4061,108.499,59.4652,50.7879,19.7767,51.1395,14.4755,73.6602,89.8134,50.4512,26.6482,45.6713,0.167861,-1.27616,-1.45049,-1.17088,-1.43365,-1.24321,-2.07811,-1.25955,-1.31845,-1.64298,-1.74296,-1.44587,-1.43152,-0.852536,-1.29725,-1.33052,-1.34164,0.273444,0.279108,0.234454,0.310093,0.238436,0.288458,0.125167,0.283781,0.267551,0.193402,0.175002,0.235541,0.238946,0.426332,0.273282,0.26434,-33.7329,-42.2753,-41.4135,-51.0924,-42.8874,-41.5639,-55.9972,-43.4189,-40.8794,-46.9683,-54.9853,-46.9327,-36.3742,-42.7654,-44.9843,-44.4418,-37.9376,-35.9857,-44.4498,-40.6481,-35.8864,-45.7391,-35.0972,-51.4601,-39.8317,-43.3347,-37.2393,-38.598,-32.9221,-43.2137,-39.9872,-40.1091,-48.6468,-54.8361,-37.2395,-38.5719,-35.4407,-38.9215,-44.6252,-52.4597,-49.5785,-50.0743,-49.7074,-50.8686,-37.9768,-33.3374,-42.9885,-40.691,-46.3627,-33.4506,-40.1876,-44.577,-41.2601,-37.1215,-47.1248,-28.2644,-46.2384,-54.9525,-46.6671,-34.5928,-42.0061,-45.9584
-2595.2,0.906219,0.233297,4,15,0,2613.84,48.0796,28.7706,207.818,38.2628,115.773,60.3387,56.5853,22.0613,55.6074,12.6095,62.2645,97.7175,33.2016,22.9316,58.9248,0.232018,-1.69153,-1.63925,-1.25664,-1.38212,-1.29448,-1.91021,-1.12459,-0.99375,-1.51177,-1.47521,-1.50242,-1.15573,-1.3437,-1.54023,-1.57034,-1.42586,0.289444,0.184238,0.194126,0.284609,0.251046,0.274039,0.148049,0.324785,0.370186,0.220519,0.22873,0.22259,0.314827,0.260878,0.214331,0.207975,-35.1453,-44.6112,-41.5929,-51.2949,-42.3742,-40.6206,-55.1464,-43.9867,-41.0427,-47.6602,-53.7102,-46.0353,-36.0979,-45.3754,-45.6977,-43.99,-37.2771,-36.3675,-44.5563,-41.2846,-36.2098,-45.8321,-34.5233,-54.1316,-39.4623,-44.5355,-37.6302,-37.3547,-31.9957,-42.4539,-39.1249,-38.8481,-48.1877,-56.4295,-36.8198,-37.872,-35.2416,-39.4409,-44.0171,-53.8258,-50.9639,-49.7598,-49.7871,-49.936,-36.8033,-32.5353,-43.2452,-41.2367,-48.5343,-33.6397,-42.6692,-43.8966,-41.212,-37.0996,-47.8452,-27.3748,-44.438,-56.3442,-47.4868,-33.4783,-41.2971,-44.5722
-2586.39,0.929193,0.233297,4,15,0,2606.46,44.4976,27.0933,189.097,36.6454,106.573,62.9774,58.4809,22.3089,50.4273,11.7209,102.344,121.348,30.6455,29.672,67.2311,0.160322,-1.46702,-1.63228,-1.07118,-1.65008,-1.39642,-1.8049,-1.30229,-1.20443,-1.69026,-1.32648,-0.932733,-1.19264,-1.27208,-1.42772,-1.53215,-1.42674,0.234671,0.230612,0.195484,0.342605,0.192035,0.247481,0.16449,0.27191,0.299863,0.184472,0.265411,0.393477,0.303419,0.280249,0.239854,0.216071,-34.2401,-42.3905,-42.6645,-51.04,-42.4501,-41.3032,-54.8941,-42.6487,-40.7238,-46.3837,-53.6449,-47.0118,-36.065,-41.4149,-44.7681,-44.3292,-36.8476,-36.2288,-43.6534,-40.7044,-36.0253,-44.9573,-34.2795,-53.8848,-39.5226,-43.4056,-37.1756,-38.824,-32.2271,-42.8484,-40.6566,-40.6607,-48.6681,-54.7359,-37.5174,-38.1644,-34.8154,-38.7484,-44.2078,-51.4124,-48.1143,-49.7598,-49.8269,-50.8442,-38.7423,-33.3129,-43.3357,-40.321,-46.3529,-35.5901,-41.9399,-43.7718,-41.5566,-36.4368,-47.9158,-28.8339,-46.1982,-55.4971,-48.145,-33.3778,-41.6062,-46.2068
