# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kpsi_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1351185676
# output
#   file = output_cal_g_Kpsi_Kgamma_EPs_6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,log_psi.14,log_psi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_psi,sigma_psi,mu_gamma,sigma_gamma,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,psi.14,psi.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.168624
# Diagonal elements of inverse mass matrix:
# 0.146501, 0.0377385, 0.11134, 0.0684871, 0.336528, 0.0102899, 0.0283575, 0.079074, 0.0218157, 0.0583566, 0.0754398, 0.686806, 0.221809, 0.0256888, 0.129803, 1.48918, 0.479276, 0.092204, 1.49124, 1.02587, 0.86193, 0.135676, 1.44842, 0.156508, 0.475007, 0.651657, 0.825703, 1.74055, 0.585918, 0.611625, 0.435731, 0.203547, 0.26567, 0.146722, 0.460925, 0.23436, 0.165821, 0.528437, 0.0644679, 0.383415, 0.475564, 0.192786, 0.940578, 0.171719, 0.968183, 0.153962, 0.0924365, 1.04582, 0.070193
-2591.1,0.958156,0.168624,4,31,0,2611.06,74.6833,31.4334,192.644,36.8614,80.7738,55.9438,49.3201,26.2118,59.1589,21.0894,148.999,236.848,49.8143,38.5618,60.637,-0.572407,-1.21582,-1.43009,-1.11808,-1.80332,-2.11754,-1.88228,-0.773099,-1.36853,-0.335367,-0.00912734,0.664044,-0.438531,0.23514,-0.545882,0.176251,0.241936,0.0419163,0.246944,0.232874,0.185318,0.0237988,0.142728,0.409117,0.12333,0.0712854,0.0325783,0.119135,0.402005,0.0711624,-0.979331,0.753193,-1.77499,0.95884,0.564166,0.296468,0.239287,0.326905,0.164751,0.120328,0.152242,0.46158,0.254481,0.715076,0.990914,1.94263,0.644983,1.26509,0.579331,-33.579,-40.8853,-41.3383,-50.5905,-44.4862,-41.3576,-55.6621,-42.5436,-39.2236,-46.6576,-52.3613,-45.3102,-34.3231,-40.1867,-45.5696,-42.7507,-36.4493,-34.5035,-43.5593,-40.1028,-34.0765,-44.3881,-34.4229,-47.6006,-39.1608,-43.2444,-38.7797,-38.421,-34.3758,-43.3187,-39.5528,-40.7291,-50.0674,-54.4443,-36.6037,-37.9597,-35.6886,-38.3847,-43.9302,-50.4256,-49.6586,-50.356,-47.7825,-50.5683,-37.0611,-32.6936,-42.6727,-40.9569,-48.2807,-30.6389,-39.2869,-47.2709,-42.5442,-36.4776,-46.2118,-28.557,-45.9832,-59.1274,-47.2846,-33.0426,-42.2975,-45.5268
-2587.25,0.660626,0.168624,4,31,0,2610.21,59.4342,30.8411,193.74,37.7265,91.6567,58.8069,41.1634,20.4722,58.6782,19.315,112.477,273.778,41.3758,39.8347,88.5819,-1.26463,-1.49237,-1.58662,-1.19533,-1.61433,-2.04558,-1.79048,-1.35626,-1.06633,-1.37424,-0.666503,0.609536,-1.20036,-0.5122,-1.22718,0.110799,0.116399,0.0265888,0.22354,0.126947,0.130495,0.0520896,0.165862,0.419799,0.102803,0.130017,0.0353017,0.0505776,0.41161,0.0582804,-0.944083,0.807745,-1.46044,1.36129,0.282344,0.224839,0.204616,0.302603,0.199023,0.129306,0.16688,0.257622,0.34427,0.253032,0.513501,1.83958,0.301086,0.599176,0.293119,-33.1907,-40.3973,-42.6593,-51.9341,-44.0289,-40.4794,-54.6798,-41.4448,-39.1237,-47.6788,-51.6621,-45.7996,-34.0991,-40.9703,-44.8904,-44.3011,-36.7309,-34.7187,-42.9458,-39.4283,-35.0619,-45.8704,-35.055,-48.1814,-39.4142,-42.0994,-37.3156,-39.0343,-32.8858,-43.4048,-39.0255,-41.5789,-49.8247,-54.8036,-37.0021,-38.3689,-35.6629,-38.2898,-44.4778,-49.2476,-48.9918,-49.8109,-48.1046,-48.5444,-37.9882,-33.3887,-44.3106,-41.1555,-46.9061,-32.1089,-40.67,-45.7429,-42.0761,-36.9873,-46.7198,-28.3265,-44.7564,-57.9659,-47.2347,-33.899,-41.2432,-45.0148
-2589.48,0.848392,0.168624,4,31,0,2609.01,70.069,32.8233,201.549,39.7286,96.6557,72.4476,44.2991,20.794,66.6314,13.113,125.931,283.668,57.7932,30.5667,98.0628,-1.08762,-1.17312,-1.4653,-1.56089,-1.64872,-1.9076,-1.65505,-1.2732,-1.1042,-1.12175,-0.806018,0.631673,-0.21979,-1.2937,-0.772639,0.0520574,0.258499,0.0158605,0.164821,0.160413,0.133164,0.0905939,0.248936,0.44462,0.168435,0.107775,0.0256609,0.0885433,0.466038,0.193466,-1.25311,0.486681,-1.71712,1.0584,0.337017,0.309399,0.231008,0.20995,0.192295,0.148435,0.191083,0.279934,0.331477,0.325711,0.446633,1.88075,0.802687,0.274255,0.461793,-33.5364,-41.1165,-42.5949,-51.5046,-44.781,-42.3863,-54.8275,-41.1351,-41.3839,-49.3786,-52.2495,-45.5376,-35.0413,-40.1507,-45.5392,-43.2313,-36.0845,-33.9982,-43.3516,-39.2054,-34.4357,-44.1969,-34.429,-48.617,-38.4928,-42.0997,-37.9367,-38.258,-32.402,-42.5599,-38.8897,-40.5531,-49.3922,-54.329,-36.7166,-36.8076,-34.3586,-38.2579,-44.6343,-49.4035,-49.9522,-50.6206,-47.9425,-50.9846,-37.9457,-32.2072,-43.5318,-40.1589,-48.3367,-33.2279,-39.8024,-47.849,-41.4887,-36.9224,-46.837,-29.1278,-45.4575,-59.8846,-46.2946,-32.9295,-41.8529,-44.5318
-2584.13,0.75039,0.168624,5,31,0,2612.19,119.825,25.1698,208.341,35.2805,194.711,62.4395,65.138,32.822,60.3098,17.8822,194.598,247.706,24.1646,42.9865,52.964,0.510014,-1.51863,-1.25331,-1.09121,-0.522926,-1.9883,-0.685062,-0.733113,-1.49057,0.0331234,0.167931,-0.0433117,-1.72388,-0.365069,-1.47801,0.0509967,0.108898,0.0526457,0.424061,0.0745383,0.172446,0.376764,0.0631718,0.481922,0.394086,0.0256253,0.0561182,0.101935,0.350659,0.0360914,-0.884713,0.731087,-1.58105,1.36094,1.66531,0.219011,0.285558,0.335811,0.592784,0.136928,0.504059,0.480411,0.225243,1.03368,1.18285,0.957613,0.178373,0.694149,0.228091,-33.9146,-41.5238,-41.8447,-52.8599,-43.1462,-41.5481,-55.2802,-41.7567,-38.8065,-48.5033,-50.8457,-47.2085,-35.0896,-40.5106,-45.2221,-42.9764,-36.4417,-33.6401,-44.0722,-39.4614,-33.8085,-43.6546,-33.4045,-51.83,-40.1079,-42.0513,-37.0459,-38.0841,-31.0686,-43.7876,-38.3088,-42.1687,-50.6575,-53.6679,-35.7934,-37.5352,-35.6801,-38.0426,-43.2301,-48.2242,-48.6315,-48.988,-47.7537,-51.8028,-39.0078,-32.1676,-42.9723,-40.5932,-48.6197,-30.9261,-41.1339,-46.5525,-42.4872,-34.584,-45.6833,-27.8469,-45.4594,-57.2709,-48.38,-33.6017,-41.3019,-46.5418
-2588.68,0.924637,0.168624,4,15,0,2606.38,134.296,34.9935,213.833,32.1814,198.048,68.5828,68.3299,33.8846,55.2333,17.6572,176.063,181.34,26.9037,38.5048,51.0157,-0.0204498,-1.96742,-1.47257,-1.33881,-0.685727,-1.91588,-0.95236,-0.53842,-1.39009,-0.356696,0.0485791,-0.706849,-1.59771,-1.00446,-1.58834,0.0530452,0.099485,0.0442118,0.407391,0.0183592,0.197846,0.420553,0.123163,0.455216,0.248251,0.0271718,0.041834,0.0732875,0.29264,0.203081,-0.941602,0.71073,-1.8245,0.963804,0.979758,0.139818,0.229336,0.262156,0.503724,0.147213,0.385829,0.58367,0.249053,0.699985,1.04978,0.493196,0.202359,0.366243,0.204265,-33.1623,-41.4143,-41.9693,-52.8248,-41.4075,-41.9509,-54.9096,-41.7338,-40.3032,-46.7882,-54.151,-45.575,-35.6208,-44.2907,-45.124,-44.0769,-36.333,-34.066,-43.2529,-40.1331,-33.7493,-44.2564,-33.7078,-48.8953,-40.1788,-44.8172,-37.4169,-38.2,-31.5533,-43.2805,-37.4529,-40.366,-48.0679,-54.3499,-36.1332,-38.8076,-35.3568,-38.2917,-43.4966,-50.9787,-52.6018,-49.9741,-50.1426,-48.9271,-41.4099,-33.5085,-43.6577,-40.1228,-48.8096,-32.1005,-40.8502,-46.5337,-41.8331,-35.302,-45.0747,-27.3839,-45.0474,-54.6593,-46.1557,-32.9965,-41.7881,-45.1658
-2577.67,0.994823,0.168624,5,31,0,2605.75,64.8966,24.36,237.587,45.3736,104.139,67.5316,54.6363,29.0985,64.4853,14.1257,121.852,248.635,54.6793,37.5925,112.926,-0.995336,-1.43872,-1.03288,-1.05582,-1.50997,-1.61144,-1.27949,-0.247601,-1.11539,-0.850315,-0.490455,0.267061,-1.10651,-0.879654,-1.31924,0.171118,0.154254,0.205612,0.189224,0.172,0.226695,0.249882,0.179383,0.400593,0.370908,0.108458,0.0166383,0.039073,0.379283,0.122598,-0.787689,0.524583,-1.8793,1.11282,0.369599,0.23723,0.355981,0.347905,0.220916,0.199599,0.278178,0.780671,0.327788,0.42728,0.612347,1.30612,0.330713,0.414926,0.267337,-34.8271,-43.397,-41.6368,-51.0359,-42.9299,-39.675,-55.0301,-41.6008,-39.6878,-48.1756,-49.4064,-46.4816,-34.5441,-42.1963,-45.9557,-43.9985,-36.5484,-34.8238,-43.8222,-39.7205,-34.4065,-45.4741,-34.4305,-46.63,-38.3952,-42.0334,-39.0682,-38.0934,-32.4451,-43.2655,-38.4109,-41.8154,-50.1329,-54.9045,-36.9753,-36.7055,-35.7159,-38.3805,-44.5118,-48.103,-49.2549,-50.2578,-46.8244,-50.8411,-38.1789,-32.6663,-43.223,-40.9678,-48.2595,-33.08,-38.283,-48.1794,-41.3749,-36.756,-46.0547,-28.1846,-44.9319,-58.1595,-46.5789,-34.0678,-42.597,-44.8922
