# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1242022067
# output
#   file = output_cal_pl_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.133598
# Diagonal elements of inverse mass matrix:
# 0.0168527, 0.00801658, 0.0369897, 0.0213252, 0.0343721, 0.010057, 0.0146072, 0.0119683, 0.00733729, 0.0492007, 0.0139681, 0.0117907, 0.0386797, 0.0142059, 0.138107, 0.0502643, 0.890993, 3.56147
-2590.88,0.531906,0.133598,5,31,0,2596.72,64.7954,34.6669,211.23,44.7428,106.662,78.9657,65.6992,19.1909,64.2411,22.977,90.8476,99.4733,27.612,33.2415,83.7787,0.148716,0.0738049,2.14643,-34.6568,-42.0222,-41.4929,-49.9609,-41.4385,-39.6073,-55.2296,-43.3793,-40.9159,-46.6673,-52.2623,-45.9634,-35.4116,-45.9171,-45.1852,-42.9146,-37.2063,-35.6081,-45.3393,-40.486,-35.0061,-45.8274,-35.1161,-50.1104,-39.4231,-45.001,-37.0923,-38.1504,-33.9602,-43.2143,-39.0311,-39.7667,-48.1997,-55.1711,-36.6728,-37.7969,-35.1169,-38.7057,-43.649,-53.6187,-52.6185,-49.8936,-49.8664,-49.3747,-38.6358,-32.5602,-42.4965,-41.2189,-46.4434,-34.5472,-41.3207,-44.3545,-41.7072,-36.3677,-47.158,-27.9278,-45.3294,-57.2086,-48.6124,-33.4756,-41.2793,-45.7454
-2594.6,0.927151,0.133598,5,31,0,2601.2,60.3888,36.5593,219.292,41.8238,119.871,79.2058,55.8312,19.7397,63.2603,27.3156,93.1103,98.0159,25.4615,29.1614,86.527,0.170201,0.121385,2.34252,-34.8466,-42.4795,-41.2475,-49.8985,-41.1864,-39.6935,-55.5998,-43.8666,-41.0588,-45.9906,-52.6547,-45.5207,-35.9106,-47.149,-45.1288,-42.389,-37.7939,-35.7075,-45.6692,-41.0611,-35.2784,-46.1609,-34.9997,-50.7042,-39.651,-45.6016,-37.204,-38.3744,-33.6823,-43.3454,-38.6704,-39.1939,-48.4184,-55.3661,-36.7205,-37.8177,-35.3535,-38.767,-43.9618,-54.2213,-51.8695,-49.9692,-50.2577,-48.8552,-38.538,-32.5876,-42.6623,-41.9383,-46.5459,-34.6705,-41.9178,-44.2138,-41.4341,-36.5945,-47.6186,-27.6114,-44.7466,-57.3367,-47.9008,-33.498,-41.2752,-44.9433
-2597.2,0.921093,0.133598,5,31,0,2604.62,66.9212,35.9625,186.09,50.5954,124.993,90.8279,59.7535,21.3281,70.147,14.8109,92.7208,115.738,40.6101,42.4973,80.087,0.125463,0.0494892,2.13434,-34.9847,-41.0962,-41.1386,-52.1983,-42.6705,-40.9058,-54.0326,-41.7376,-41.1602,-48.4219,-52.8362,-47.6082,-35.3938,-43.816,-44.8835,-44.044,-36.1011,-35.1644,-44.4446,-39.6187,-35.4174,-44.1685,-35.5609,-52.2415,-39.6006,-44.2737,-36.5679,-37.8327,-32.6389,-42.8882,-39.1925,-40.8807,-48.1751,-54.09,-36.4649,-38.2676,-34.7593,-38.5224,-43.3886,-53.1635,-53.1936,-50.7793,-49.5906,-52.5128,-38.0154,-32.9615,-42.5473,-39.8392,-46.146,-34.9439,-40.7293,-44.544,-42.1596,-36.0892,-46.9411,-29.4653,-46.6799,-56.8049,-49.646,-33.3075,-41.9086,-47.6991
-2595.65,0.992142,0.133598,5,31,0,2603.34,62.9701,34.6147,233.839,39.5084,114.658,83.0357,53.0577,22.1169,61.0899,15.3447,102.886,98.6151,20.7182,28.4507,62.323,0.170489,0.0826179,2.33736,-34.5801,-43.5687,-41.4925,-49.7841,-41.557,-39.4443,-55.4857,-44.4962,-40.6987,-46.7411,-53.2405,-45.8908,-35.9707,-48.8361,-45.4823,-42.5098,-36.8161,-35.3005,-45.6071,-40.4867,-34.8989,-45.4341,-34.2835,-51.4341,-39.986,-45.4484,-36.7175,-38.1369,-33.1176,-42.9024,-38.3354,-38.7375,-48.5358,-55.2531,-36.274,-38.1103,-34.6475,-38.3355,-43.6901,-55.8092,-52.2105,-50.0679,-50.8699,-48.3762,-38.8875,-32.1103,-42.999,-41.151,-46.5808,-34.7884,-42.2413,-43.6324,-40.8385,-36.116,-47.7025,-28.1613,-44.1945,-59.1882,-48.3949,-32.6177,-40.5462,-45.217
-2595.23,0.865135,0.133598,4,31,0,2605.66,62.7302,34.8193,232.545,46.2124,117.319,86.6975,46.522,21.6601,66.922,20.7854,89.6025,99.8131,26.3907,26.9651,51.3557,0.161681,0.132547,2.90775,-34.3059,-42.7742,-41.5524,-49.8599,-41.9094,-39.5195,-55.4224,-44.3406,-40.3985,-47.736,-53.5774,-45.9865,-36.0793,-49.0321,-44.8452,-42.754,-37.022,-35.2201,-45.4808,-40.2184,-35.3497,-45.7,-34.8533,-52.0589,-40.4211,-44.8837,-36.6757,-37.5973,-32.9022,-42.6176,-38.4312,-38.676,-48.2718,-55.189,-36.166,-38.2405,-34.5872,-38.5598,-43.3853,-55.1469,-53.3036,-50.2879,-50.3886,-49.8762,-37.4674,-31.9866,-42.9158,-41.467,-47.3623,-35.057,-41.2401,-43.9472,-40.9521,-36.2741,-47.097,-27.773,-44.1665,-58.7888,-48.3878,-33.2442,-40.5451,-45.8385
-2596.69,0.995256,0.133598,5,31,0,2601.17,65.2355,35.8947,184.169,39.2279,111.169,81.5909,74.0268,21.1119,65.6826,17.0403,96.5423,114.615,29.3711,39.7208,97.639,0.145363,0.139406,2.61971,-34.9409,-41.6923,-41.4573,-50.9432,-41.8985,-40.7086,-54.6254,-42.2135,-41.4359,-46.9183,-52.4435,-46.5794,-35.2273,-42.9825,-45.4565,-43.6272,-36.7001,-35.7741,-44.6459,-40.649,-35.1054,-44.8189,-35.3099,-51.2865,-38.6939,-44.8963,-37.0905,-39.0952,-33.6062,-43.2307,-39.686,-40.945,-48.4114,-54.5612,-37.075,-38.0003,-35.2861,-38.522,-44.108,-52.5265,-52.0845,-50.4814,-49.54,-50.8576,-40.1771,-33.4479,-42.5018,-40.3951,-45.504,-34.7725,-41.8431,-44.327,-41.951,-36.6009,-47.766,-29.3779,-46.8395,-56.1879,-49.1147,-33.1997,-42.087,-46.2768
-2597.37,0.998609,0.133598,5,31,0,2605.61,55.0844,36.2118,230.254,40.7487,122.056,83.4472,38.0338,20.8044,59.3298,16.626,86.962,97.9624,30.5897,29.195,47.9974,0.108393,0.058848,2.4306,-34.1858,-42.0145,-42.3514,-50.0154,-42.0651,-39.1592,-55.0742,-44.1147,-39.9474,-47.9417,-54.0565,-46.8775,-36.1778,-49.3909,-44.6791,-43.5344,-36.427,-35.421,-45.1268,-39.8108,-35.7384,-45.6598,-35.2645,-50.5646,-40.5828,-44.9545,-36.7754,-38.1383,-32.9033,-43.0251,-38.349,-38.8964,-48.1345,-54.9259,-36.6452,-38.6868,-34.9707,-38.674,-43.885,-54.6045,-52.0523,-49.6826,-51.3473,-48.3008,-38.1413,-32.3135,-43.2958,-40.6298,-46.0628,-35.7126,-40.1593,-44.2998,-41.2586,-36.5097,-47.2769,-28.092,-44.6912,-58.447,-47.9426,-33.0844,-40.4802,-46.5099
-2594.6,0.817898,0.133598,5,31,0,2602.57,60.4982,32.2434,174.024,42.0648,103.765,79.9893,68.8641,20.334,61.9359,14.6276,92.6881,101.821,22.3984,39.0558,94.4074,0.165304,0.0906552,2.28553,-34.9237,-41.8703,-41.0856,-51.169,-42.2043,-40.8283,-55.0632,-42.7647,-41.8422,-46.8507,-52.1342,-46.5253,-35.2385,-42.8545,-45.8327,-43.4268,-36.97,-35.6427,-45.2436,-40.3676,-34.9359,-45.0044,-34.9356,-50.9574,-38.7879,-44.9749,-37.2189,-38.6985,-32.7233,-43.2337,-39.1727,-40.7215,-48.2991,-55.0069,-36.8833,-37.7809,-35.137,-38.668,-43.6335,-53.2011,-51.5326,-50.8497,-50.1453,-50.8052,-39.2429,-33.0373,-42.7429,-40.6485,-45.7105,-33.9614,-42.2228,-44.3774,-41.2267,-36.0625,-47.6758,-28.8309,-45.8126,-56.9042,-48.7806,-33.2499,-42.0704,-46.0248
-2592.48,0.997563,0.133598,5,31,0,2600.71,54.6665,36.3962,222.943,38.1082,124.799,83.8038,40.7798,20.9399,63.0252,17.864,86.441,96.5847,32.7228,31.1022,62.0694,0.129225,0.0892749,2.61539,-34.5346,-42.061,-42.0367,-49.8912,-41.8248,-39.4137,-54.8263,-43.625,-40.3561,-47.5078,-53.568,-46.6493,-36.0909,-48.1148,-44.5846,-43.2334,-36.5498,-35.3966,-45.1691,-40.233,-35.5031,-45.5441,-35.2177,-50.7053,-39.8617,-45.08,-36.854,-38.2497,-32.761,-43.0735,-38.5576,-39.3032,-48.1139,-54.7682,-36.5858,-38.253,-35.1179,-38.708,-44.1179,-54.0919,-51.9756,-50.0025,-50.9155,-49.3298,-38.0893,-32.3509,-43.0082,-40.8348,-46.2612,-34.973,-39.8742,-44.5569,-41.266,-36.6211,-47.16,-28.184,-45.3237,-57.8237,-47.6089,-33.2291,-40.9592,-46.012
-2592.47,0.998664,0.133598,5,31,0,2598.93,61.3327,32.0495,186.987,44.6317,100.055,75.5798,66.4251,17.6668,55.2199,15.2322,86.8171,86.8373,24.2639,34.2296,89.9182,0.13568,0.123338,2.94444,-34.7097,-41.8428,-41.7027,-50.3905,-41.6367,-40.0437,-55.1157,-43.3306,-41.5546,-46.8707,-52.6936,-46.4206,-35.5754,-44.873,-45.5206,-43.433,-36.9038,-35.8103,-45.3929,-40.0731,-35.1375,-45.7926,-35.1834,-49.0028,-39.5156,-44.7714,-37.2341,-38.2338,-34.1989,-43.3008,-39.2994,-39.9837,-47.8129,-55.1596,-36.9906,-37.9131,-35.0321,-39.0422,-43.5592,-53.5872,-51.8881,-50.2641,-50.6613,-49.0492,-39.054,-32.8796,-43.0314,-40.7097,-46.448,-34.8752,-40.9863,-44.5793,-41.6842,-36.1923,-46.7893,-27.9711,-45.2349,-57.1907,-48.2218,-33.517,-41.4751,-45.9299
-2594.38,0.989025,0.133598,5,31,0,2604.18,46.9819,31.6272,188,31.9955,104.786,78.9161,35.2423,18.0379,53.5104,12.977,74.4784,88.8617,29.8805,27.4561,59.9177,0.133118,0.262102,4.48778,-33.9325,-42.2722,-42.1114,-50.1002,-42.5639,-40.115,-54.9879,-43.6327,-40.8671,-47.4417,-53.8815,-47.0041,-36.293,-45.7219,-45.2272,-43.7578,-36.7315,-36.0856,-45.2916,-39.9846,-35.9306,-45.4782,-35.3293,-49.8609,-39.3908,-44.1752,-37.1825,-38.9552,-31.9763,-43.1994,-38.639,-39.6569,-47.9245,-55.014,-37.4114,-38.1569,-35.4844,-39.3321,-44.7436,-52.7055,-50.5818,-50.601,-51.3944,-49.3586,-38.4486,-32.9939,-43.6292,-40.7596,-44.7958,-35.219,-40.0511,-44.4678,-40.6446,-37.1678,-47.7955,-28.2099,-44.9306,-56.9817,-47.0738,-33.3565,-41.4905,-46.0286
-2591.99,0.978218,0.133598,5,31,0,2602.49,53.229,27.726,150.542,31.6881,108.734,62.5338,47.4501,17.5418,52.1679,18.2207,75.2683,78.0802,26.578,35.0954,80.4752,0.163712,0.146023,3.11788,-35.7201,-41.4489,-42.46,-50.7682,-42.2232,-39.7779,-55.3783,-42.9885,-41.491,-45.6648,-51.8205,-47.1305,-35.277,-42.7696,-45.8516,-43.051,-37.0717,-35.8344,-45.6491,-40.9337,-35.2511,-45.8734,-34.8558,-48.6523,-38.667,-45.2305,-37.8071,-38.6,-31.4122,-43.8475,-39.5152,-40.9622,-48.9252,-54.9726,-37.104,-38.1252,-35.6354,-39.4011,-44.188,-52.9838,-49.5897,-50.1181,-50.8373,-49.7668,-37.9149,-32.5688,-43.509,-41.1143,-45.4613,-32.6251,-40.5635,-45.1026,-41.8927,-36.4025,-47.4368,-28.4994,-46.1475,-56.4833,-48.1312,-34.1856,-42.3291,-46.3921
-2592.62,0.780586,0.133598,5,31,0,2602.21,49.0159,30.2442,180.726,41.2531,94.0132,80.2291,45.427,18.4683,61.5423,12.3071,79.1733,89.5786,23.3253,24.7166,52.8678,0.17581,0.319702,4.88853,-33.652,-42.7764,-41.1016,-50.4982,-42.7074,-40.6864,-55.2321,-43.9005,-41.2049,-48.0648,-53.8726,-46.8543,-36.0601,-45.6361,-45.5519,-43.1552,-37.0414,-35.4721,-45.5133,-40.2503,-35.3043,-45.0714,-34.6257,-51.9748,-39.3578,-44.4765,-37.2806,-37.9327,-31.4195,-42.9109,-39.0127,-39.202,-48.0105,-55.1862,-36.6551,-37.3879,-34.7362,-39.0151,-43.557,-53.9758,-52.321,-51.2599,-50.737,-51.0588,-37.1587,-32.3043,-42.7274,-41.1619,-46.7553,-34.1211,-40.9485,-44.1046,-40.315,-36.1752,-47.1537,-27.8868,-44.3451,-57.5569,-47.9442,-33.0154,-41.3896,-46.3141
-2591.69,0.993541,0.133598,5,31,0,2599.71,45.2016,31.8334,171.524,36.8438,106.538,72.3237,55.657,17.4031,59.7098,18.3624,88.0474,86.1786,23.7849,28.6699,41.4369,0.182784,0.425614,5.4779,-34.4656,-41.9418,-41.9618,-50.1307,-42.138,-40.1047,-55.6972,-43.621,-40.1548,-46.3642,-53.2328,-46.3169,-35.4902,-44.7185,-45.1293,-42.4499,-37.2972,-35.4263,-45.2859,-41.0845,-34.9954,-45.5035,-34.3826,-51.4331,-39.3408,-45.5026,-37.5045,-38.2376,-31.8574,-43.5043,-39.5942,-39.6716,-49.0959,-54.8498,-36.7671,-37.5014,-34.977,-38.8775,-43.6942,-54.7818,-51.9272,-50.5745,-50.4491,-50.3425,-38.3372,-32.4427,-42.5906,-41.3145,-47.0502,-33.3052,-40.7625,-44.521,-41.0887,-35.9259,-47.0004,-28.0159,-45.4952,-57.2284,-47.4366,-33.2112,-41.6396,-46.3431
-2593.53,0.798081,0.133598,5,31,0,2604.93,59.651,27.6746,188.398,38.939,121.425,76.4579,47.9729,17.7073,55.8633,15.2565,97.1106,87.5989,28.9772,28.7141,58.1219,0.143662,0.196028,2.95394,-34.8463,-42.6219,-41.6273,-49.8432,-42.3974,-39.9311,-56.0061,-43.6056,-40.8215,-45.1787,-52.8419,-46.8452,-35.895,-43.7068,-45.5038,-42.4862,-37.1695,-35.9987,-45.6015,-40.5708,-35.461,-45.324,-34.9417,-48.3783,-40.1531,-44.2697,-37.532,-38.6744,-32.9478,-43.821,-39.198,-40.1321,-49.7305,-54.7091,-37.2306,-38.404,-35.3509,-39.327,-44.4349,-53.2397,-50.6796,-49.8648,-49.9092,-48.8125,-38.8672,-32.5768,-42.4105,-41.5633,-45.8158,-35.053,-40.8768,-44.7991,-41.621,-36.6145,-47.6098,-28.037,-44.8693,-58.4731,-47.7641,-33.1818,-41.6895,-46.2867
-2593.28,0.977749,0.133598,5,31,0,2601.77,56.2732,33.132,169.42,32.4951,84.7771,75.3613,54.1927,20.6491,59.3077,16.8242,82.8368,94.3906,26.3953,32.9344,67.4808,0.110469,0.0396449,2.02176,-33.9876,-41.5961,-41.5297,-50.2244,-42.3627,-40.4594,-55.0551,-42.7851,-40.9474,-46.8533,-53.0607,-47.2108,-35.2268,-43.5775,-45.5927,-43.2597,-36.9705,-35.611,-45.3054,-40.2923,-34.7013,-45.2132,-35.0827,-48.7556,-38.4675,-44.875,-37.4971,-39.0773,-32.3385,-43.3978,-39.4082,-40.4773,-47.9266,-54.7238,-36.9872,-38.111,-35.4881,-38.965,-44.4944,-52.4893,-51.6848,-50.7735,-50.726,-49.485,-38.6546,-32.9689,-42.7922,-40.6724,-44.5549,-33.8712,-40.2873,-44.5597,-41.2555,-36.5921,-47.5103,-29.0507,-46.2307,-55.5976,-48.6542,-33.6357,-41.8497,-47.1875
