# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Kgamma_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1203297598
# output
#   file = output_cal_pl_Kgamma_EPs_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.199852
# Diagonal elements of inverse mass matrix:
# 0.0409447, 0.0138113, 0.223982, 0.032413, 0.0644963, 0.0189083, 0.0234639, 0.0210247, 0.013271, 0.0725821, 0.0372597, 0.0720518, 0.0703192, 0.0172437, 0.157661, 0.531455, 0.172931, 0.166699, 0.158947, 0.374072, 0.106155, 0.196123, 0.401621, 0.045687, 0.468758, 0.92979, 0.259347, 0.844976, 0.192444, 0.415771, 1.17521, 0.133862, 0.862484, 2.62212
-2590.94,0.960307,0.199852,4,15,0,2606.97,100.837,38.5922,251.182,49.4856,157.842,88.6556,61.7157,27.5442,74.5682,23.4802,127.253,172.024,45.0213,29.8752,51.9703,0.0870772,0.217219,0.113117,0.22182,0.212209,0.173125,0.210825,0.0572252,0.385265,0.402439,0.056268,0.0419936,0.0443289,0.345912,0.0826426,-1.95195,0.999195,0.967763,5.84749,-35.4818,-40.9588,-41.5966,-51.6833,-41.8346,-40.2268,-55.8857,-41.8689,-39.0498,-49.892,-51.7595,-45.7851,-35.4011,-44.3036,-46.3007,-42.9614,-36.905,-33.7036,-42.7144,-40.8592,-34.1999,-44.3217,-34.771,-49.8936,-40.57,-44.0393,-38.0209,-38.0753,-32.6008,-43.0656,-38.6622,-40.0485,-51.0998,-53.7115,-36.1712,-38.4583,-34.8683,-37.8209,-43.3096,-52.0742,-52.0762,-49.3643,-46.9075,-50.9113,-39.0634,-31.409,-41.955,-40.7975,-48.211,-34.3199,-40.9337,-46.8211,-42.6011,-36.1559,-45.7005,-28.0957,-44.7496,-59.9254,-48.3448,-33.175,-41.0636,-45.665
-2586.61,0.991317,0.199852,4,31,0,2611.23,73.8647,41.0782,267.562,39.0654,114.184,92.7215,53.1931,22.074,66.7238,8.70381,118.923,155.175,53.2887,30.3759,78.1175,0.0741295,0.167262,0.103023,0.290413,0.0737208,0.279893,0.382067,0.157623,0.337139,0.163836,0.0822822,0.0276252,0.0636974,0.320137,0.160558,-1.55832,0.840723,0.59183,3.49273,-32.8828,-43.0284,-40.3267,-52.1061,-42.9175,-41.4162,-56.0881,-42.5934,-41.1807,-48.0853,-52.3919,-46.1375,-36.2083,-42.9562,-46.6385,-43.9693,-37.5691,-34.9741,-43.8744,-40.7593,-34.1118,-44.4235,-34.8487,-47.5231,-39.8354,-43.3749,-38.8963,-38.4465,-34.2644,-43.4573,-37.342,-40.4541,-48.7119,-54.4153,-36.9668,-37.3117,-35.9546,-38.1027,-44.4603,-50.6149,-51.8644,-52.0665,-49.2226,-51.3372,-39.9394,-32.2634,-41.854,-40.5639,-45.8435,-34.6851,-40.3256,-46.5407,-39.8587,-36.81,-45.6586,-27.3897,-43.6382,-58.0398,-45.4045,-33.0477,-42.6421,-45.2067
-2584.41,0.985061,0.199852,4,31,0,2601.84,103.748,41.057,219.273,57.0255,136.437,94.7809,70.118,26.3889,72.2563,25.7776,119.84,156.202,49.2505,34.1243,70.7879,0.0659835,0.175592,0.202443,0.161828,0.279434,0.16018,0.180387,0.141446,0.39145,0.33379,0.0829356,0.0691449,0.0781732,0.416735,0.106004,-1.80872,1.06246,0.869689,3.91618,-36.7295,-41.6865,-41.3029,-51.7189,-42.4688,-40.0973,-56.4172,-42.3648,-39.8294,-48.4404,-51.3116,-45.5984,-35.5696,-43.645,-46.7249,-42.7089,-37.7759,-33.9573,-43.4017,-40.8851,-33.8491,-45.0525,-35.0222,-48.5705,-39.5749,-43.9636,-38.0291,-38.0515,-32.9756,-43.0541,-38.4054,-40.4728,-50.6318,-53.8185,-36.2312,-37.9175,-35.7397,-38.3004,-43.7859,-51.6499,-50.78,-50.0262,-47.3571,-50.5042,-37.7488,-32.4326,-41.7071,-41.1442,-47.7364,-33.7448,-41.2362,-47.6352,-42.0819,-36.3529,-46.1107,-28.1125,-44.9615,-58.121,-47.5394,-33.9288,-41.6603,-45.3685
-2584.39,0.980008,0.199852,4,31,0,2600.1,56.3657,36.8835,221.282,39.9384,160.321,81.9614,59.8407,23.3751,74.1267,9.89342,97.9883,145.671,38.5904,38.8102,103.089,0.128747,0.162096,0.108023,0.243294,0.0392515,0.218986,0.272706,0.122675,0.375315,0.102134,0.114825,0.043998,0.117388,0.221747,0.10154,-1.6742,1.15932,0.574285,5.42547,-33.8587,-41.981,-41.8221,-52.2822,-42.7723,-40.8719,-54.4246,-41.9152,-40.2401,-51.1437,-52.2781,-46.5495,-36.0114,-43.1845,-45.6755,-44.5559,-35.9805,-34.2174,-43.259,-40.4139,-34.6745,-44.1764,-35.2494,-51.0738,-38.4466,-44.1423,-38.0248,-38.7082,-31.5635,-42.9834,-38.7482,-41.2129,-48.348,-54.4532,-36.6523,-36.6395,-35.5521,-38.3788,-43.6481,-50.6258,-51.9163,-49.9997,-48.2359,-53.2761,-39.7414,-31.5426,-42.3078,-39.4891,-47.7168,-32.4204,-38.8211,-47.296,-41.3222,-36.1303,-45.2881,-28.4305,-46.831,-58.4258,-46.5195,-32.7669,-41.8752,-45.2139
-2582.04,0.996125,0.199852,4,15,0,2596.91,65.4703,38.1548,244.454,49.3856,132.267,85.5062,58.4047,22.2069,59.0068,13.9888,114.184,124.587,30.0107,34.8001,73.7284,0.227871,0.138148,0.0976261,0.176257,0.0833131,0.225104,0.335925,0.0753119,0.309145,0.122289,0.0565079,0.0788929,0.0581857,0.371336,0.106697,-1.55879,0.718485,0.872673,5.6889,-33.5472,-41.4937,-40.7657,-50.8574,-42.8918,-40.689,-56.0976,-43.0095,-40.0582,-47.8016,-51.9079,-45.4267,-35.3036,-41.5217,-45.2167,-42.9645,-37.2321,-35.0122,-44.1735,-40.2814,-34.5023,-45.225,-35.1373,-49.1375,-40.6458,-43.7912,-37.5772,-38.4841,-34.5272,-43.5129,-37.659,-40.4148,-48.4722,-54.6307,-36.6432,-38.0368,-35.0259,-38.1235,-43.835,-52.038,-52.4505,-50.9819,-48.9498,-49.0481,-41.0875,-32.4558,-42.775,-41.1046,-46.1247,-35.3464,-41.6103,-45.1931,-40.8252,-36.4115,-46.4627,-27.3738,-43.5212,-58.1961,-46.8741,-33.162,-41.1488,-44.6525
-2584.68,0.949335,0.199852,4,31,0,2606.26,66.0558,36.7746,220.224,51.5906,137.126,85.3299,57.1404,24.8362,71.2885,16.0164,105.205,149.858,37.0304,26.3965,76.0072,0.0520685,0.167209,0.110463,0.172461,0.0774452,0.180294,0.222958,0.144698,0.404954,0.145014,0.0577303,0.0337032,0.0883462,0.41437,0.074619,-1.92632,1.1005,0.0729,2.05741,-33.3851,-41.1026,-40.7584,-52.5126,-42.3243,-40.6847,-54.4239,-41.6382,-39.6787,-52.1752,-51.9956,-46.572,-35.4752,-44.7639,-46.3093,-43.3994,-36.628,-34.1475,-43.2485,-40.1469,-34.9287,-44.078,-34.8969,-51.4577,-39.0894,-43.6701,-38.2324,-38.0601,-30.9302,-42.5688,-38.9471,-40.0125,-48.0499,-54.5892,-36.5328,-36.7093,-34.7957,-38.7483,-43.5074,-51.523,-51.6908,-50.462,-48.239,-51.8115,-38.5985,-31.2705,-42.2507,-39.7811,-47.5796,-33.274,-39.8908,-46.3228,-41.576,-35.918,-45.7037,-28.8651,-45.2423,-57.8357,-47.8226,-33.0355,-41.1287,-46.375
