# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92686461
# output
#   file = output_cal_g_Kgamma_EPs_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.161346
# Diagonal elements of inverse mass matrix:
# 0.0968709, 0.023977, 0.426529, 0.0504265, 0.166539, 0.0491914, 0.025109, 0.0389816, 0.0117405, 0.022755, 0.0592823, 0.876504, 0.0818741, 0.0216457, 0.21112, 0.743329, 0.712089, 0.112091, 0.0628673, 0.157017, 0.216731, 0.0883943, 0.143453, 0.361229, 0.0358458, 0.255676, 0.313941, 0.300741, 0.447498, 0.102216, 0.736211, 0.699661, 0.0698891
-2659.22,0.838624,0.161346,5,31,0,2680.32,110.203,49.1127,249.848,51.8754,157.508,111.192,66.5692,29.3754,76.4082,35.6158,123.089,198.491,37.8586,38.6711,106.232,0.587378,0.0269943,0.177653,0.2444,0.232109,0.100912,0.220501,0.269838,0.118031,0.39234,0.107785,0.0663686,0.0262942,0.0748224,0.458213,0.0464944,-1.99821,1.66798,-34.3038,-42.0008,-41.2463,-51.7906,-42.4483,-40.1142,-57.407,-42.7708,-39.577,-49.9384,-49.8321,-44.788,-35.3988,-41.9189,-48.2445,-42.6133,-40.074,-34.6077,-45.8158,-44.1129,-35.306,-47.1024,-37.0833,-47.2549,-41.1858,-44.263,-38.8084,-40.9647,-34.0582,-43.0791,-37.3119,-42.4942,-48.557,-58.3543,-36.709,-39.1495,-36.585,-40.4391,-47.1125,-51.5953,-62.6167,-55.2589,-51.9496,-52.5271,-39.1383,-33.0611,-43.3809,-42.2048,-46.9869,-37.6337,-41.1998,-49.0413,-41.1867,-37.2957,-47.6913,-27.9132,-44.5198,-56.5789,-47.2785,-35.2704,-44.0493,-47.025
-2665.94,0.748687,0.161346,4,15,0,2677.53,90.6317,42.0971,248.723,38.9301,194.355,104.366,70.1281,30.0903,75.8539,32.0387,130.147,217.763,32.0858,43.4307,113.842,0.455788,0.0436296,0.19751,0.256141,0.375948,0.103602,0.186216,0.23514,0.119525,0.364916,0.0916331,0.113968,0.022758,0.0304755,0.517766,0.0736571,-1.99864,1.55163,-34.8582,-42.1734,-43.3531,-52.3905,-43.2262,-39.0784,-56.7127,-42.1177,-38.9943,-49.4409,-48.46,-45.2407,-34.6063,-41.0151,-46.9698,-42.954,-38.5574,-34.6162,-45.6139,-44.4062,-36.4051,-47.0183,-36.9024,-49.7328,-41.5238,-44.0852,-38.2181,-41.8657,-32.7951,-43.0521,-38.5444,-44.0397,-50.3011,-59.0924,-37.4213,-39.6708,-35.717,-40.16,-47.1588,-51.706,-61.8049,-53.7928,-51.5789,-51.6562,-41.009,-32.2367,-44.451,-41.7251,-47.2318,-39.1185,-41.5318,-47.4179,-42.3754,-37.4159,-47.8885,-28.3554,-44.6769,-57.5721,-48.5414,-34.7513,-43.4784,-47.1403
-2671.32,0.983922,0.161346,5,31,0,2684.97,130.995,50.8623,256.873,55.8168,183.614,118.651,79.6348,27.8858,75.0122,30.659,159.495,252.431,132.781,36.6907,116.13,1.38373,0.0480688,0.180257,0.248046,0.137843,0.0709378,0.171191,0.288682,0.164188,0.420729,0.0611153,0.0497669,0.00304427,0.0125656,0.368606,0.0647173,-1.97044,1.26131,-34.5719,-43.8494,-42.2038,-51.2277,-43.0205,-39.7903,-56.7969,-41.6509,-40.717,-48.3177,-51.5942,-46.3132,-36.2376,-42.3524,-49.5522,-43.3439,-39.9018,-34.7785,-45.4653,-45.6986,-34.9523,-46.1258,-36.6047,-44.7988,-40.3209,-43.4649,-41.1248,-40.756,-33.7808,-44.3531,-38.7531,-43.0293,-50.2787,-57.2725,-37.8384,-39.1261,-37.5991,-40.7653,-48.3003,-50.187,-61.7829,-54.1541,-50.548,-51.7578,-40.335,-33.6458,-42.4453,-40.9823,-46.1216,-36.6734,-38.9887,-51.5266,-42.4112,-37.6717,-48.3487,-28.977,-45.9655,-56.3712,-48.3081,-34.6084,-45.5603,-48.5828
-2673.11,0.981612,0.161346,5,31,0,2687.32,127.058,56.0965,266.098,59.6443,183.147,119.091,76.8324,29.2245,76.493,30.9476,156.077,265.877,133.838,34.9572,109.991,1.4501,0.0471099,0.159744,0.277947,0.140873,0.0707106,0.168373,0.327379,0.139601,0.416568,0.0572928,0.0686261,0.0029605,0.0125468,0.362045,0.0640037,-1.965,1.42046,-34.3326,-44.914,-42.3784,-51.4222,-43.05,-39.3869,-56.6669,-41.8648,-40.3804,-48.53,-51.8162,-46.1895,-36.2784,-43.5758,-49.2956,-43.6158,-39.7019,-34.6941,-45.4919,-45.8515,-35.1338,-46.1893,-36.8058,-45.3649,-40.5035,-43.5269,-40.9382,-40.6894,-34.1466,-44.5234,-38.7605,-42.7861,-50.5814,-57.7045,-37.8049,-39.1464,-37.5694,-40.5135,-48.2931,-50.548,-62.1646,-53.6627,-50.4584,-51.0987,-40.5412,-33.7176,-42.4919,-41.0961,-46.3156,-37.1167,-39.1425,-51.0274,-42.4079,-37.877,-47.9889,-28.4073,-45.5858,-56.5685,-48.1222,-34.2343,-45.0996,-48.3182
-2669.4,0.999499,0.161346,5,31,0,2685.94,124.039,57.4608,289.371,44.5353,219.401,137.105,77.3335,39.5008,83.844,44.6707,187.788,283.608,33.5742,49.3522,125.256,1.70889,0.00661561,0.206895,0.292293,0.224986,0.125189,0.157476,0.242165,0.0647112,0.370927,0.0475004,0.0161552,0.0227299,0.0610589,0.460879,0.109745,-1.94505,1.42899,-35.0245,-43.8115,-42.829,-51.2423,-43.2087,-39.2408,-57.2098,-42.3543,-39.3482,-50.0679,-49.1549,-45.2977,-35.5282,-42.6479,-48.2766,-42.069,-39.4816,-34.5416,-46.1049,-45.5155,-34.9669,-46.7517,-36.4187,-47.5929,-39.9439,-45.7815,-38.9475,-41.8217,-33.461,-44.03,-38.0241,-43.4522,-50.6,-58.0414,-37.1236,-38.695,-36.988,-39.6923,-48.0656,-50.2387,-60.0368,-54.2047,-52.5884,-51.2394,-41.2304,-32.8054,-43.5923,-41.8861,-45.3331,-37.5236,-41.6223,-49.7691,-42.5604,-37.5789,-48.6394,-29.1061,-46.1322,-56.4166,-48.2524,-34.0214,-44.1031,-47.2189
-2664.01,0.982355,0.161346,4,15,0,2681.02,160.578,62.7702,288.827,55.1987,198.663,136.702,88.7743,42.4745,86.0395,45.7649,175.745,279.972,44.2284,42.3851,84.1031,1.11892,0.0422191,0.103061,0.214054,0.266182,0.0847781,0.189593,0.319019,0.0644259,0.361595,0.0428154,0.0252084,0.0187277,0.192075,0.422381,0.144906,-1.46144,1.27704,-34.3314,-41.951,-41.8127,-53.74,-42.6523,-40.0295,-56.987,-41.5197,-40.6522,-49.7613,-50.5258,-45.3034,-35.9183,-42.1303,-48.1391,-43.1999,-39.6086,-34.3004,-45.5838,-43.511,-34.8397,-45.3881,-37.1876,-47.7195,-41.5793,-43.2298,-38.6521,-40.4041,-35.6852,-43.1731,-37.4379,-43.0737,-50.3999,-57.6774,-36.657,-40.5577,-36.3793,-39.194,-46.4717,-49.8676,-62.9214,-54.6055,-51.0484,-52.9637,-41.6554,-33.6164,-42.2456,-41.0866,-46.7451,-38.5085,-42.5615,-48.9917,-43.0685,-37.9731,-46.9573,-29.0959,-45.7305,-55.4572,-48.7847,-34.7784,-44.3966,-48.7248
