# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kpsi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92682680
# output
#   file = output_cal_g_Kpsi_EPs_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,log_psi.14,log_psi.15,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,psi.14,psi.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.122561
# Diagonal elements of inverse mass matrix:
# 0.104554, 0.0523889, 0.0692728, 0.0740025, 0.206816, 0.0105391, 0.02776, 0.0504999, 0.0169795, 0.0285168, 0.0443225, 0.109546, 0.106891, 0.0120884, 0.13025, 0.0429383, 1.27851, 0.585852, 0.095843, 1.01921, 0.815466, 1.00101, 0.0857533, 0.592711, 0.175613, 1.20791, 0.758822, 0.939075, 1.06263, 0.081461, 1.21789, 0.12966, 0.0807069
-2665.67,0.892457,0.122561,5,31,0,2682.84,52.7554,33.8082,193.48,34.3631,130.952,66.9683,58.8147,26.0829,49.5988,37.8073,123.134,110.333,23.3585,32.6034,66.84,0.148557,-1.32451,-1.28475,-1.42206,-1.68112,-1.00417,-2.1328,-1.1813,-1.09267,-1.76473,-0.541964,-0.585995,-1.01212,-1.08301,-1.35054,-1.50037,-1.37303,0.524986,0.265933,0.276718,0.241218,0.186166,0.366348,0.118505,0.306878,0.335319,0.171233,0.581605,0.556552,0.363447,0.338576,0.259099,0.223048,-34.9862,-41.7706,-43.4002,-48.9639,-41.7061,-41.3891,-57.4536,-44.5911,-41.3411,-45.0603,-53.1738,-45.3812,-36.8054,-44.9307,-44.8991,-42.2697,-39.3636,-36.165,-47.48,-43.1785,-36.973,-48.007,-36.2278,-51.0537,-42.3868,-43.3667,-36.6258,-41.0669,-34.4591,-42.6827,-39.5862,-41.7727,-48.1148,-58.0492,-37.1194,-40.6682,-35.5917,-41.0997,-47.2496,-55.2092,-58.8105,-53.8433,-53.9658,-51.4656,-38.772,-33.4608,-45.6047,-42.6514,-46.8859,-37.0019,-40.7993,-45.9943,-41.5734,-36.4826,-49.6426,-28.7135,-46.7226,-56.6003,-48.2038,-36.0889,-43.0088,-47.8026
-2666.58,0.992778,0.122561,5,31,0,2679.89,51.6024,30.6088,211.861,38.7083,104.553,66.3528,52.6776,20.3377,65.822,21.8803,119.537,147.014,28.498,29.2539,97.2686,0.15483,-1.46035,-1.89428,-1.42159,-1.52749,-1.33329,-2.1015,-1.45639,-1.32547,-1.32881,-0.518322,-0.77135,-0.934842,-2.03795,-1.68473,-1.44597,-1.4466,0.447318,0.232155,0.150426,0.24133,0.217081,0.26361,0.122273,0.233076,0.265677,0.264793,0.595519,0.462389,0.392648,0.130295,0.185494,0.235518,-33.9272,-42.2446,-43.8553,-49.9197,-41.4868,-40.6625,-54.3705,-42.3435,-41.8416,-46.5199,-53.4775,-45.7798,-35.0305,-42.8261,-45.3594,-42.8357,-37.8735,-37.0379,-46.961,-44.2677,-38.0686,-46.0137,-35.5203,-55.0075,-42.0258,-44.2046,-36.7526,-40.7907,-32.3947,-42.71,-39.6939,-41.5962,-47.6467,-59.1205,-37.5111,-39.8698,-34.8584,-41.8527,-48.0525,-55.7438,-64.5419,-52.8821,-52.9462,-50.5578,-38.5324,-33.2924,-44.353,-41.1479,-48.0413,-38.6551,-43.0218,-44.3813,-41.7388,-36.8618,-51.0489,-28.6057,-45.9849,-55.7299,-49.6843,-34.1976,-43.0459,-47.6024
-2672.11,0.87739,0.122561,5,31,0,2684.38,81.2955,27.2685,182.6,41.8441,139.316,64.7679,44.4994,22.0245,49.4535,43.1872,144.695,125.663,37.2659,35.6197,47.7748,0.13653,-0.673809,-1.75351,-1.49679,-1.32802,-0.668379,-2.14009,-1.16647,-1.03525,-1.94652,-0.266182,-0.0429051,-0.800132,-1.51351,-1.22685,-1.26365,-1.03694,0.676735,0.509763,0.173165,0.223847,0.265001,0.512539,0.117644,0.311463,0.355139,0.142771,0.766299,0.958002,0.44927,0.220135,0.293214,0.28262,-35.1134,-41.0976,-42.705,-48.9986,-42.1926,-40.7037,-57.2162,-44.241,-41.1831,-44.1652,-54.6271,-46.8009,-36.7838,-45.0287,-44.5936,-42.5509,-38.8121,-36.3605,-46.5693,-43.418,-36.8585,-47.1517,-35.8777,-51.0297,-42.962,-43.1753,-37.1282,-40.3262,-32.1934,-43.552,-40.186,-42.5212,-48.7841,-57.2434,-37.2922,-40.9774,-36.1801,-41.702,-47.5407,-55.3442,-59.6055,-53.0698,-53.1958,-52.7224,-36.7493,-33.3129,-44.394,-42.5269,-47.2176,-35.6733,-39.64,-47.149,-42.794,-36.7362,-49.3115,-28.5506,-47.9603,-56.405,-49.7156,-35.8392,-43.7167,-49.9385
-2668.83,0.908425,0.122561,5,31,0,2695.02,54.9518,28.3857,209.076,30.1666,88.363,65.2057,48.0487,21.6231,62.7527,20.3189,85.7637,93.7185,25.274,26.3495,107.104,0.174388,-1.36558,-1.6863,-1.1773,-1.58064,-1.92277,-1.94609,-1.18421,-1.17394,-1.20685,-0.99517,-1.01761,-1.26674,-1.63777,-1.55969,-1.50738,-1.3987,0.343495,0.255233,0.185203,0.308109,0.205844,0.146202,0.142832,0.305989,0.309148,0.299139,0.36966,0.361456,0.28175,0.194413,0.210202,0.22149,-34.7039,-42.6412,-43.1298,-49.8248,-41.6218,-41.1282,-55.6975,-43.312,-43.4788,-46.533,-53.3933,-45.7378,-36.165,-42.7164,-45.8889,-42.9101,-38.783,-36.6943,-48.4595,-44.4107,-37.4911,-46.9772,-36.3446,-50.6827,-42.0157,-44.4325,-37.1053,-41.6003,-32.8368,-42.7556,-38.7676,-41.5627,-47.5657,-60.0066,-37.4195,-40.62,-35.547,-42.3662,-48.7011,-55.6535,-63.5899,-53.9615,-53.889,-50.273,-38.1073,-33.6603,-44.6095,-41.9306,-46.859,-38.7204,-41.9218,-45.1499,-41.158,-37.3911,-50.6772,-28.3189,-45.2356,-55.0942,-48.4537,-35.2803,-43.5901,-47.0395
-2668.7,0.971705,0.122561,5,31,0,2682.73,53.8645,28.4267,187.675,47.1098,176.736,64.1081,55.1419,17.9474,50.3151,34.5381,113.015,127.696,19.3343,38.1832,71.815,0.167076,-1.32655,-1.53866,-1.54453,-0.874002,-0.905084,-2.07083,-1.61014,-1.62485,-1.75337,-0.155125,-0.756911,-0.992568,-1.76086,-1.16413,-1.83044,-1.26168,0.516877,0.265392,0.214669,0.213411,0.417278,0.404508,0.126081,0.199861,0.196941,0.173189,0.856308,0.469113,0.370624,0.171897,0.312193,0.160343,-35.6456,-41.177,-41.7736,-49.5387,-41.9927,-40.518,-56.1513,-43.7352,-41.6712,-45.7403,-52.5313,-45.8384,-36.6248,-45.0954,-45.1128,-42.4602,-38.4954,-36.7249,-47.0221,-43.3688,-37.6386,-47.2548,-36.2479,-52.7857,-41.4428,-43.5778,-36.7723,-41.2011,-33.2161,-42.959,-40.0046,-42.3608,-49.5674,-58.4118,-37.4013,-40.3662,-35.698,-41.2602,-46.8957,-55.4421,-58.0131,-53.2183,-53.4926,-51.8116,-39.5963,-33.3214,-45.0273,-42.3689,-46.501,-35.4375,-41.7256,-44.9514,-42.4686,-36.3148,-50.17,-28.9105,-46.8616,-56.6498,-49.7068,-35.2771,-43.3902,-48.5971
-2665.68,0.989169,0.122561,5,31,0,2682.35,57.013,29.2698,201.655,48.9324,103.234,67.0157,52.7248,21.4366,64.1849,28.07,140.85,113.025,40.8929,37.3485,51.5781,0.155949,-1.5706,-1.70404,-1.52942,-1.41741,-1.76864,-2.24044,-1.36957,-1.24254,-1.52255,-0.537057,-0.562634,-1.29849,-1.16728,-1.42676,-2.16894,-1.49657,0.468676,0.20792,0.181947,0.216661,0.24234,0.170565,0.106412,0.254217,0.288649,0.218154,0.584466,0.569706,0.272944,0.311212,0.240084,0.114299,-34.1762,-41.2053,-42.7534,-49.9005,-42.6581,-40.229,-55.4526,-43.0353,-41.7367,-45.2957,-52.8008,-45.7761,-35.5732,-44.346,-44.5595,-42.7429,-37.8434,-35.8777,-46.9795,-43.4604,-37.1415,-46.5328,-35.6992,-52.8204,-43.9334,-43.4208,-36.2652,-40.2141,-32.8333,-42.7245,-39.7867,-42.1712,-49.0109,-58.023,-36.7294,-41.6834,-34.7915,-41.341,-46.8843,-56.9765,-63.7844,-52.479,-52.0381,-52.5338,-37.5338,-32.7153,-44.2005,-41.441,-48.6454,-36.9866,-40.8577,-45.7303,-42.3622,-36.029,-49.1653,-28.524,-46.8111,-58.0366,-49.2941,-34.9587,-42.9574,-49.2022
