# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kpsi_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92683247
# output
#   file = output_cal_g_Kpsi_Kgamma_EPs_7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,log_psi.14,log_psi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_psi,sigma_psi,mu_gamma,sigma_gamma,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,psi.14,psi.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.153009
# Diagonal elements of inverse mass matrix:
# 0.186033, 0.0331336, 0.26549, 0.0519615, 0.440314, 0.0133332, 0.0446832, 0.0968586, 0.0197103, 0.0366036, 0.112901, 1.13758, 0.139759, 0.0183003, 0.223449, 1.0927, 0.331906, 0.14212, 0.68159, 1.02805, 0.85311, 0.247218, 2.20448, 0.188793, 0.294149, 1.10357, 1.12676, 0.886408, 0.243356, 1.3087, 0.687802, 0.378483, 0.146638, 0.225752, 0.342526, 0.31112, 0.134763, 0.518307, 0.0590453, 0.701788, 0.519477, 0.128184, 0.969796, 0.133968, 0.821218, 0.136804, 0.0772902, 0.893948, 0.0852372
-2656.91,0.886005,0.153009,5,31,0,2682.8,106.917,31.3664,201.543,35.5823,204.802,61.309,63.9247,32.732,54.977,23.9724,124.794,229.336,77.0283,39.6723,62.5246,0.533169,-1.37076,-1.27103,-1.66318,-0.273323,-1.71819,-0.599269,-0.698061,-1.44651,0.293459,-0.091269,0.334744,0.416506,-1.00648,-0.573338,0.0371412,0.262705,0.183294,0.198159,0.049102,0.22637,0.375974,0.0830322,0.406934,0.1828,0.106688,0.0231945,0.036027,0.45343,0.097046,-0.323226,0.911674,-1.18695,1.42663,1.70432,0.253913,0.280543,0.189536,0.760847,0.17939,0.549213,0.497549,0.23539,1.34106,0.912772,1.39758,1.51665,0.365504,0.563641,-34.0156,-41.3261,-45.7421,-50.49,-43.5762,-39.9795,-56.602,-42.3918,-39.1242,-47.3948,-50.7339,-45.4557,-34.8021,-40.986,-46.3845,-43.187,-38.1535,-34.8852,-45.4986,-44.4679,-36.2838,-46.5748,-36.0928,-47.7852,-41.4893,-44.0566,-39.1397,-40.3778,-32.5169,-43.8112,-38.2956,-42.532,-49.382,-58.2842,-36.8263,-39.8607,-35.732,-41.0489,-47.5243,-52.2723,-60.9289,-53.1128,-52.0658,-50.0013,-39.4543,-32.9273,-44.7036,-40.5864,-48.1233,-36.2025,-39.1797,-47.4862,-41.1899,-36.4159,-48.0327,-27.4059,-45.4009,-56.5183,-46.6838,-34.9768,-43.4931,-47.0375
-2649.13,0.910672,0.153009,5,31,0,2674.48,119.298,33.0195,228.201,41.2588,114.742,69.2316,52.3216,26.827,67.6612,56.4235,188.972,235.458,33.9795,29.5744,64.3043,0.401623,-1.57311,-1.34497,-1.05353,-1.35921,-2.08428,-1.5988,-1.11733,-1.1354,0.322459,-0.00327705,-0.424619,-1.20468,-1.44109,-0.875163,0.0699821,0.0881775,0.172008,0.375385,0.271392,0.13789,0.149127,0.106333,0.400392,0.0567457,0.0159908,0.0553664,0.152958,0.318642,0.0574295,-1.20457,0.847365,-1.96511,1.03072,1.49425,0.2074,0.260549,0.348705,0.256863,0.124396,0.202139,0.327153,0.321294,1.38052,0.996728,0.654019,0.299788,0.236669,0.416794,-34.3627,-40.8977,-42.838,-53.1818,-41.2374,-39.3843,-55.8312,-42.2582,-39.1083,-48.3981,-52.6276,-45.283,-34.1377,-42.0494,-44.7676,-41.7329,-37.4674,-35.0483,-45.2971,-41.6656,-35.9182,-46.0679,-35.1777,-52.7791,-42.1416,-42.1641,-37.2001,-39.6476,-33.15,-42.6802,-38.9107,-42.1524,-50.1002,-57.2982,-36.8339,-39.8951,-35.2316,-39.9251,-45.9552,-51.8222,-60.5531,-51.5795,-50.7191,-50.8239,-37.7474,-33.577,-44.9332,-41.7121,-49.2778,-35.3875,-42.5119,-47.0417,-44.2236,-36.8332,-47.5868,-28.4683,-46.4398,-55.4543,-49.4081,-34.5707,-42.8429,-47.8715
-2655.7,0.494355,0.153009,5,31,0,2679.37,81.2817,31.7988,189.835,36.5492,216.113,57.0077,61.1146,28.3937,49.473,21.1003,109.191,266.863,59.8618,34.2962,73.8126,-1.11172,-1.14448,-1.47164,-1.59313,-0.293826,-2.23094,-1.19982,-0.486848,-1.45584,-0.662306,-0.554549,0.404847,-0.590851,-1.4462,-0.331116,0.0797602,0.202773,0.243973,0.239125,0.0586426,0.0561861,0.220434,0.0966081,0.441034,0.19216,0.14078,0.0275769,0.0437593,0.319466,0.193682,-1.0722,0.827497,-1.75119,1.35049,0.328993,0.318391,0.229549,0.203289,0.745406,0.107427,0.30125,0.61456,0.233205,0.515661,0.574331,1.49907,0.553856,0.235462,0.718122,-34.0637,-42.4971,-45.8321,-51.3122,-43.3238,-39.279,-56.3183,-41.9261,-39.829,-47.5821,-50.4704,-45.811,-34.5247,-41.5896,-46.106,-43.302,-37.4161,-34.9075,-45.6011,-42.5202,-37.5732,-46.7105,-36.8975,-47.6424,-41.8517,-41.1738,-37.7345,-40.6786,-32.8992,-43.3451,-38.7651,-42.826,-50.4201,-59.4272,-37.0752,-40.635,-35.0603,-40.9322,-47.4832,-51.8034,-60.2474,-51.5882,-51.2624,-49.239,-38.5663,-33.0687,-46.2678,-40.7287,-47.1472,-36.3928,-40.468,-46.7717,-43.0022,-36.9798,-48.9932,-27.7154,-44.9585,-57.0979,-48.9109,-34.5921,-43.4201,-48.0375
-2647.23,0.966042,0.153009,5,31,0,2681.16,106.256,39.159,226.962,37.6375,149.634,67.9471,52.3167,23.9711,70.3654,48.4658,189.537,258.537,37.3649,35.542,50.3924,0.196495,-0.954228,-1.21715,-1.04452,-0.691559,-1.90419,-1.44665,-0.812178,-1.12115,0.212146,0.520019,-0.00889088,-0.961177,-1.18639,-0.934531,0.0448861,0.177368,0.178077,0.316427,0.189001,0.150444,0.32727,0.0727577,0.39252,0.0828769,0.027027,0.0289456,0.111618,0.527316,0.025099,-0.580815,0.585013,-1.87572,1.29225,1.21713,0.385109,0.296074,0.351859,0.500795,0.148943,0.235358,0.44389,0.325905,1.23633,1.68206,0.991149,0.382442,0.305321,0.39277,-34.701,-40.4369,-43.7503,-50.7225,-43.453,-39.2874,-56.5961,-42.6875,-38.312,-48.6092,-50.0164,-45.1203,-34.0281,-40.45,-45.8585,-41.4686,-37.7836,-34.6609,-46.2669,-42.2981,-35.2069,-46.0215,-35.2229,-49.5721,-40.911,-42.7377,-38.4315,-40.1605,-33.3953,-43.5694,-38.5545,-43.1223,-51.1314,-57.0479,-37.0224,-38.1313,-35.5738,-39.8126,-46.7372,-51.3027,-61.5169,-51.9075,-50.5887,-51.9048,-39.1017,-32.9476,-44.3339,-41.9739,-48.498,-35.1111,-39.9081,-48.7755,-43.2797,-36.7397,-47.9943,-27.8416,-46.4249,-57.5792,-48.172,-34.4112,-43.5666,-47.5373
-2647.48,0.989663,0.153009,5,31,0,2667.07,94.5711,65.9462,279.572,39.2461,172.204,75.6789,70.4077,26.2046,65.8973,35.5406,167.42,283.684,60.053,46.6908,121.908,-1.09494,-0.00313189,-0.839212,-1.42788,-0.724841,-1.74511,-1.13859,-1.3222,-1.38007,-0.467633,0.201347,-0.0240653,-0.557334,-0.754059,-1.00454,0.0302508,0.175752,0.214686,0.314848,0.0959536,0.232616,0.322857,0.0747337,0.465823,0.137696,0.076916,0.0338818,0.0513845,0.385818,0.131021,-1.04897,0.680861,-1.49636,1.6183,0.334558,0.996873,0.432051,0.239816,0.484402,0.174626,0.320271,0.266547,0.25156,0.626483,1.22305,0.976222,0.572734,0.470453,0.366214,-33.6652,-41.5149,-42.6688,-51.6069,-41.5403,-40.1197,-54.9666,-40.9921,-40.221,-50.0416,-49.5646,-44.3837,-34.7586,-43.3509,-46.211,-43.431,-38.1291,-34.1284,-44.8344,-43.115,-35.3881,-45.9956,-37.0014,-49.7447,-40.8957,-43.6874,-37.5292,-40.2278,-35.6861,-43.0428,-37.5187,-42.1987,-48.9068,-58.2101,-36.1401,-39.4947,-35.567,-39.3229,-46.8119,-51.0056,-62.5823,-53.2357,-51.5329,-52.6565,-39.8158,-33.2512,-44.5631,-40.7363,-49.1801,-36.7127,-40.7513,-48.1145,-42.1355,-36.9353,-47.4235,-28.3266,-45.9232,-56.2769,-48.0286,-34.4167,-43.2635,-45.9834
-2663.42,0.872886,0.153009,5,31,0,2676.85,63.5967,66.5488,274.66,49.3388,170.123,79.1503,62.9868,25.3542,74.6093,56.186,199.429,296.04,24.6385,46.3331,54.5101,-2.02838,-0.150923,-1.1731,-1.13231,-1.07351,-2.06595,-1.43881,-0.89046,-1.331,0.400632,0.0667111,-0.0834657,-1.37029,-0.621602,-1.60324,0.0954581,0.213509,0.171524,0.264344,0.178969,0.124987,0.162211,0.205156,0.397255,0.0308099,0.0310093,0.0462118,0.119361,0.466851,0.00449657,-0.837917,0.784673,-1.91675,0.925826,0.131549,0.859914,0.309406,0.322286,0.341807,0.126697,0.237211,0.410467,0.264212,1.49277,1.06899,0.919923,0.254034,0.537084,0.201243,-33.8215,-39.8835,-41.8284,-51.1103,-42.6156,-41.1185,-54.7036,-41.5073,-38.3279,-50.7127,-50.003,-43.7709,-34.2232,-42.248,-45.4415,-41.6869,-37.7678,-34.2643,-45.2854,-41.9678,-35.8163,-45.8045,-36.4767,-52.4212,-42.1435,-44.2442,-36.9411,-39.9796,-35.3414,-42.1053,-38.3883,-41.412,-49.8235,-57.4421,-36.3154,-39.1301,-34.8901,-38.6579,-45.7504,-53.3142,-64.669,-52.3259,-50.508,-53.3293,-39.4472,-32.9056,-44.332,-41.3823,-50.0036,-35.3876,-40.8134,-48.6632,-44.1953,-36.8559,-48.6861,-28.8611,-46.1427,-58.885,-49.4101,-33.4382,-42.618,-46.5244
