# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 94246275
# output
#   file = output_cal_pl_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.14609
# Diagonal elements of inverse mass matrix:
# 0.0229215, 0.01131, 0.0822294, 0.0252546, 0.031703, 0.0146218, 0.0189202, 0.0114363, 0.00974705, 0.0248733, 0.0225975, 0.0173032, 0.0384743, 0.0216852, 0.127612, 0.0344172, 0.394839, 3.70818
-2676.11,0.901376,0.14609,5,31,0,2683.35,60.4562,32.4164,207.589,44.9419,117.5,87.4905,49.0434,20.5322,63.748,22.6097,84.6812,89.8757,22.3421,32.7541,127.819,0.186241,0.533931,5.14977,-35.8058,-42.2483,-41.4726,-50.2282,-41.5829,-40.5187,-56.7907,-44.4301,-44.0326,-47.4721,-52.2856,-45.693,-36.7047,-45.0007,-46.225,-42.3414,-39.1873,-36.0559,-48.6532,-44.6621,-37.4562,-47.668,-37.5171,-50.2757,-42.3039,-45.0942,-37.0771,-41.2557,-33.4443,-43.211,-38.2956,-41.6038,-47.9787,-59.9733,-36.7304,-40.1522,-35.4395,-42.254,-47.5789,-56.3392,-63.0419,-54.5892,-54.5031,-50.8979,-38.0322,-32.6055,-44.1331,-42.7425,-47.1533,-38.876,-41.7905,-45.0676,-40.8386,-36.7712,-49.9456,-27.7012,-44.4739,-57.4994,-48.941,-35.6187,-43.6585,-47.2764
-2672.8,0.948702,0.14609,5,31,0,2681.46,61.0382,33.9239,206.946,39.8411,118.921,89.0993,64.2151,21.6555,67.3205,24.1698,96.9586,115.177,41.3483,34.7959,43.0113,0.136232,0.162814,2.84745,-35.2873,-41.213,-43.036,-49.9124,-42.3117,-39.8776,-56.6492,-43.6585,-40.8916,-47.7217,-52.742,-46.5553,-36.0359,-44.3202,-45.597,-42.632,-37.9831,-36.1382,-46.7492,-44.0805,-37.4337,-46.5578,-37.4068,-51.3016,-42.425,-43.7546,-36.809,-41.4028,-33.6656,-43.0293,-39.3521,-42.2246,-49.2665,-58.6051,-37.1306,-40.9059,-35.0969,-41.7799,-47.9382,-55.7159,-64.1449,-53.5836,-52.8789,-51.1963,-39.7969,-33.0262,-43.4263,-41.1033,-45.4456,-39.4196,-40.7737,-44.4623,-41.8782,-37.0019,-50.0271,-29.4186,-46.5225,-56.6718,-50.2683,-35.3041,-43.4156,-49.9124
-2674.23,0.743581,0.14609,5,31,0,2683.88,65.2888,36.1121,213.428,43.8663,134.131,82.5307,43.4771,21.5483,67.7271,21.911,94.0911,98.4316,24.6538,34.6354,74.8114,0.169146,0.289281,3.07241,-35.9127,-41.9416,-42.1492,-50.1116,-41.8426,-40.1078,-56.971,-44.0185,-42.2317,-46.997,-52.6846,-45.9607,-36.131,-44.0501,-46.275,-42.2872,-38.788,-35.9156,-47.9444,-45.2547,-37.399,-46.9384,-37.5245,-50.1373,-43.3028,-45.8028,-37.2357,-41.5721,-33.6128,-43.59,-38.619,-41.5365,-49.249,-59.4294,-36.7334,-41.1198,-35.8467,-41.9387,-47.6188,-56.9477,-63.3843,-53.1817,-53.7226,-49.8407,-38.2398,-32.7517,-43.3291,-42.5578,-46.8794,-38.7651,-41.9285,-44.9893,-41.4133,-36.8926,-49.9271,-27.5102,-44.966,-57.9939,-49.1338,-34.8198,-43.1576,-47.713
-2673.41,0.991324,0.14609,5,31,0,2683.57,60.0749,34.3133,210.86,40.004,104.408,83.3164,64.3029,21.6002,66.7854,23.3459,106.431,104.364,35.1831,32.3799,81.079,0.154285,0.331773,3.23943,-35.4801,-42.3859,-42.4352,-49.7059,-41.8522,-40.0955,-56.9217,-43.9599,-42.5103,-46.1736,-52.9152,-46.1629,-36.3834,-43.9677,-46.0368,-42.1062,-38.9639,-36.3797,-47.8496,-45.1132,-36.9389,-46.9705,-37.1601,-49.8727,-42.2764,-44.8736,-37.4837,-41.6021,-34.2732,-43.7949,-39.4078,-41.9847,-49.2264,-58.8578,-37.2281,-40.4043,-35.6455,-41.9316,-48.1602,-55.8171,-63.4835,-53.0455,-53.032,-49.6589,-39.5489,-32.9681,-42.8858,-42.1656,-46.1844,-39.0692,-41.5004,-44.9637,-41.68,-37.1402,-50.0024,-28.4241,-46.0639,-56.9762,-49.448,-35.2661,-43.5516,-48.2978
-2678.05,0.993207,0.14609,5,31,0,2684.41,64.7752,39.5988,228.212,44.2884,155.189,94.2766,60.1664,23.958,73.7895,24.8267,88.5215,118.271,22.7269,39.4514,78.6184,0.19084,0.633672,4.32248,-36.2845,-42.1617,-41.7267,-50.6836,-41.9465,-40.8047,-56.9758,-43.8781,-41.95,-48.0704,-52.3014,-45.2304,-36.3566,-44.2931,-46.2528,-42.7915,-39.0316,-36.27,-47.5477,-44.8512,-37.4884,-46.766,-37.7524,-52.6113,-42.1299,-45.7762,-37.2999,-41.6549,-34.0694,-43.0951,-37.9529,-41.5045,-49.2429,-59.7427,-36.7769,-40.6019,-35.8994,-41.4844,-47.3579,-56.347,-63.5886,-54.0351,-53.2907,-51.3102,-39.2605,-33.2514,-43.4546,-42.3086,-46.1587,-38.786,-43.6082,-44.4355,-40.9481,-37.15,-50.7619,-28.3135,-45.083,-57.2671,-49.2472,-34.7235,-43.424,-47.0617
-2679.2,0.927138,0.14609,5,31,0,2685.64,60.1188,36.1106,216.766,51.1345,137.194,97.6462,65.2627,22.7579,73.1084,25.9056,93.926,109.262,24.2041,32.1237,116.662,0.149681,0.372259,4.9595,-35.6023,-41.1661,-41.392,-50.0646,-41.1897,-40.9654,-56.3568,-44.056,-43.1641,-49.4512,-53.1805,-46.1712,-37.0065,-46.9381,-45.3679,-42.4219,-38.5082,-35.4701,-47.7996,-44.0474,-37.5558,-47.3362,-37.4407,-53.1408,-41.856,-44.7008,-36.4424,-40.8641,-33.7827,-42.5205,-39.3378,-41.3903,-47.6818,-59.2784,-36.3925,-39.5625,-34.2793,-41.6644,-46.8849,-56.6681,-65.1075,-55.1469,-54.0679,-52.8043,-39.1805,-32.5815,-43.8642,-42.1415,-48.0975,-39.5844,-40.7699,-44.5349,-41.5363,-36.0985,-49.2884,-28.8525,-45.5192,-57.0038,-50.0937,-35.6199,-43.1984,-48.6536
