# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92967876
# output
#   file = output_cal_pl_Kgamma_EPs_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.155159
# Diagonal elements of inverse mass matrix:
# 0.0717847, 0.0175825, 0.468114, 0.0333144, 0.105394, 0.0294432, 0.0309125, 0.0228587, 0.0136989, 0.0236185, 0.0704865, 0.142793, 0.114964, 0.0189119, 0.156045, 0.581156, 0.154049, 0.154538, 0.168853, 0.343127, 0.0648129, 0.130004, 0.613093, 0.0396391, 0.5779, 0.532919, 0.153923, 1.00698, 0.116114, 0.574613, 1.24052, 0.0773848, 0.499311, 2.90228
-2648.88,0.992623,0.155159,5,31,0,2669.94,79.6781,43.8712,243.708,44.7116,172.989,111.367,65.5058,26.6402,75.5936,27.9537,124.975,170.981,37.3775,34.212,69.7497,0.0573065,0.157867,0.218782,0.278223,0.0483868,0.197328,0.352497,0.152259,0.384981,0.152197,0.0632215,0.0738473,0.107585,0.31809,0.126616,-1.59114,0.90675,0.61191,3.3898,-33.7602,-41.8876,-41.5069,-51.9885,-41.4279,-40.051,-56.929,-42.6791,-40.2094,-50.6745,-51.0139,-45.4083,-36.1946,-43.8667,-46.5233,-42.3947,-39.2871,-34.4213,-46.2158,-43.7009,-35.7105,-46.0869,-36.8943,-51.4714,-41.2819,-43.5719,-37.358,-40.8311,-32.7184,-42.8655,-37.471,-41.8553,-48.5297,-58.3937,-36.3607,-38.9132,-35.6131,-40.7965,-47.0575,-52.741,-63.7705,-54.6041,-52.4408,-52.809,-40.3522,-32.4251,-43.5317,-41.5928,-47.0668,-37.3893,-41.505,-47.0602,-41.0592,-36.3917,-48.1477,-28.358,-44.968,-56.0133,-48.1702,-34.7592,-43.481,-47.9213
-2656,0.659399,0.155159,5,31,0,2669.57,101.762,44.4413,246.86,48.1439,173.216,107.151,59.5758,23.902,80.4025,29.7922,127.647,161.206,48.6908,34.7862,88.4677,0.0409738,0.181717,0.259682,0.258684,0.0488378,0.191263,0.367566,0.170169,0.417287,0.159826,0.118814,0.0593112,0.0892656,0.346167,0.218051,-1.62801,1.11322,0.57608,3.11827,-34.4686,-42.7012,-41.5942,-51.5639,-41.3545,-39.1461,-56.8987,-42.5375,-41.4554,-50.1931,-50.6146,-45.3234,-36.1059,-45.075,-48.0021,-42.3783,-39.0184,-34.1409,-46.2878,-44.2504,-35.3264,-46.3274,-36.6592,-49.8335,-41.2885,-44.2875,-38.2114,-40.1545,-32.8627,-43.1076,-37.6698,-41.5904,-48.6613,-58.176,-36.0432,-38.6832,-36.3532,-41.2395,-46.8898,-54.0297,-65.268,-53.78,-51.9814,-53.0166,-38.8243,-32.2512,-43.0491,-41.8851,-49.3188,-36.3234,-40.4254,-49.5656,-41.8298,-36.1831,-47.6087,-27.5817,-45.3856,-57.2196,-48.0991,-34.7982,-43.9747,-47.4293
-2657.15,1,0.155159,5,31,0,2674.59,67.9877,43.9646,258.345,45.3288,142.557,97.0517,71.4767,31.1929,64.5965,44.388,129.35,179.982,59.3177,38.4688,79.3398,0.116472,0.174144,0.160979,0.208546,0.0895776,0.18958,0.250959,0.0791556,0.304049,0.0168308,0.0634217,0.0306285,0.038723,0.452016,0.0606762,-1.83552,0.867129,0.495901,2.21594,-34.3896,-40.8587,-42.6442,-51.5972,-43.4102,-39.7325,-57.1991,-42.5929,-39.6994,-47.1227,-51.0587,-45.2835,-35.4274,-40.8428,-45.8735,-42.3391,-39.3027,-36.2042,-45.6032,-44.2766,-36.4065,-47.5418,-36.9077,-47.8348,-41.7209,-43.8197,-38.9379,-41.1339,-34.6784,-43.9213,-38.5872,-43.2242,-49.5591,-58.0774,-38.1073,-40.0923,-36.0919,-40.6387,-47.6873,-51.878,-60.7052,-53.3691,-51.5181,-49.909,-41.284,-32.9498,-43.5912,-41.8692,-45.0766,-38.8775,-40.9939,-46.919,-42.2197,-38.0365,-48.3391,-28.6217,-45.3159,-55.821,-47.78,-35.5116,-43.7695,-47.4513
-2660.41,0.972182,0.155159,5,31,0,2679.88,72.3979,34.5981,208.827,42.161,141.465,78.4005,50.2631,25.6317,67.5275,34.2207,96.8441,132.457,33.7327,33.8058,103.786,0.158712,0.226869,0.294107,0.235288,0.113219,0.362032,0.318289,0.0324635,0.348691,0.0748878,0.0954636,0.024631,0.0590722,0.447071,0.0132505,-1.79085,1.69022,0.293718,3.12925,-34.3801,-42.2749,-40.9799,-50.3283,-42.0987,-38.9452,-57.2156,-43.6644,-39.5689,-49.2252,-49.854,-44.9805,-35.19,-43.9027,-47.9442,-42.4752,-39.2977,-34.9618,-46.8085,-43.9921,-36.4483,-48.2277,-36.4038,-48.5103,-41.8829,-44.33,-39.6184,-40.5856,-31.2766,-43.0363,-37.333,-42.0925,-48.1328,-59.2129,-36.872,-39.8017,-35.8134,-41.4303,-46.7799,-53.9253,-62.3888,-55.9543,-52.3015,-53.6617,-38.5526,-31.6242,-44.7336,-42.5045,-47.0188,-35.7613,-40.0032,-48.0063,-40.7441,-36.4157,-47.9537,-28.2738,-44.3017,-57.0743,-47.9953,-36.2713,-44.2963,-47.6729
-2651.01,0.999739,0.155159,5,31,0,2672.94,71.2368,41.2736,220.542,37.8399,133.881,83.9717,51.7495,28.689,57.897,31.5037,120.703,130.013,35.2291,40.9545,53.3188,0.0764676,0.184595,0.222135,0.305397,0.111698,0.213759,0.343773,0.0531752,0.393286,0.0467525,0.0712542,0.0802816,0.139142,0.386297,0.087528,-1.31752,0.923343,0.74787,4.62982,-34.5705,-41.4183,-43.1354,-52.287,-42.575,-38.7681,-57.1358,-43.4168,-39.8634,-47.8078,-51.3492,-45.4336,-34.9837,-41.7574,-46.1495,-41.7362,-38.5948,-34.9957,-46.3425,-44.8801,-35.7233,-47.3358,-36.4994,-49.5393,-42.8721,-45.059,-37.9368,-40.7845,-32.9601,-43.9748,-38.0878,-42.7533,-49.1877,-58.02,-36.4263,-40.6357,-35.7794,-40.974,-47.2403,-54.2477,-61.2559,-52.7827,-52.9659,-49.4077,-39.5685,-32.6039,-44.4726,-41.667,-46.6474,-37.1789,-42.3076,-46.6195,-42.0661,-36.5043,-47.9746,-27.7397,-45.3306,-56.0473,-47.7323,-35.3161,-43.2463,-47.553
-2660.51,0.904337,0.155159,4,15,0,2671.4,81.1321,39.4602,226.66,36.2404,107.965,99.6467,44.8388,32.3517,67.3122,34.6404,109.726,161.603,32.9453,36.5282,77.9043,0.0998256,0.157319,0.19078,0.316928,0.0940466,0.166366,0.234037,0.0318415,0.449579,0.0545687,0.0515932,0.0576852,0.0238768,0.390722,0.297244,-1.72804,1.39398,0.903097,5.43315,-33.8242,-40.7829,-42.6949,-51.6881,-42.5372,-39.5471,-57.2925,-42.2581,-42.0795,-51.3772,-50.8173,-45.2757,-35.0587,-41.1976,-46.8697,-42.5379,-38.7906,-34.8536,-45.9111,-43.689,-35.7638,-47.2937,-37.3149,-50.2323,-41.7395,-43.4306,-37.8493,-41.6547,-32.0307,-43.4899,-37.9573,-43.0637,-49.1146,-58.2037,-36.7874,-40.7579,-36.3623,-41.3109,-47.239,-52.0358,-62.6075,-53.8061,-52.9153,-51.742,-38.4392,-32.6092,-45.0327,-41.8278,-46.569,-37.7241,-41.795,-47.5284,-41.1019,-37.2187,-48.3442,-28.0477,-44.7215,-55.884,-49.1574,-35.6305,-43.5123,-47.6121
-2660.92,0.896469,0.155159,5,31,0,2683.37,105.263,51.3866,283.468,64.916,207.689,117.553,81.1397,25.4371,84.8527,31.6397,142.799,220.149,53.1135,46.2118,125.414,0.0870958,0.199352,0.230737,0.131294,0.0295178,0.201186,0.171082,0.188614,0.368344,0.0696534,0.117878,0.0327556,0.00731419,0.423436,0.0276322,-1.67992,1.64885,1.73278,3.80903,-34.0668,-42.4706,-41.9164,-50.2663,-43.0975,-40.1466,-56.9403,-42.505,-39.5309,-49.6808,-50.2022,-44.6558,-35.524,-42.5892,-47.5897,-42.5907,-39.6942,-34.293,-45.7153,-44.3305,-35.4961,-46.8991,-36.8399,-48.1547,-41.3254,-44.5065,-38.382,-41.0962,-33.962,-43.3742,-37.644,-42.5167,-48.838,-58.2421,-36.9019,-38.7349,-36.4678,-40.2514,-47.3433,-53.6018,-65.975,-54.9383,-51.3599,-52.6297,-39.9089,-32.466,-43.043,-41.8415,-47.0651,-37.375,-39.9879,-49.5614,-41.32,-37.1316,-48.2932,-28.5761,-45.1493,-58.6372,-48.1229,-34.2865,-43.4864,-46.8231
