# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 91372273
# output
#   file = output_neus_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.453307
# Diagonal elements of inverse mass matrix:
# 0.0254176, 0.00893525, 0.0563859, 0.020943, 0.0413218, 0.0149732, 0.0193424, 0.0119154, 0.0116985, 0.0275779, 0.0243185, 0.0155822, 0.0657497, 0.0139901, 0.104643, 0.0307718, 0.00959374
-2687.81,0.660984,0.453307,3,7,0,2698.97,57.0954,29.9128,171.352,42.4052,110.121,67.6661,47.9837,22.5283,58.0923,22.1602,96.132,89.8568,17.3901,31.3635,64.6021,0.263525,0.200463,-36.4896,-41.3432,-43.0247,-50.9732,-41.5102,-39.9269,-57.5711,-44.3159,-42.3447,-46.4263,-52.9702,-45.856,-35.9613,-43.3992,-46.2123,-42.0674,-38.6145,-35.7107,-47.6009,-46.1103,-37.4867,-47.6071,-37.095,-52.134,-43.959,-46.188,-37.2312,-41.7889,-32.603,-43.4535,-40.02,-41.8924,-49.6867,-59.4407,-36.4922,-41.6123,-34.8487,-41.9215,-47.4554,-58.1264,-63.2755,-52.9966,-53.8149,-49.5437,-38.855,-32.5818,-44.3311,-42.8091,-48.8833,-39.5261,-43.0092,-44.6401,-41.6208,-36.14,-49.8416,-28.0601,-45.3462,-58.5595,-49.5142,-35.6329,-43.0056,-47.8318
-2682.99,0.965612,0.453307,3,7,0,2692.76,55.6384,29.0926,182.565,35.3411,124.477,73.1242,48.9633,17.751,62.2428,19.225,80.9328,91.9141,36.8507,27.1946,59.2782,0.310634,0.206416,-35.9298,-42.9055,-42.7461,-50.5304,-42.37,-40.0003,-57.0276,-43.9278,-42.2157,-46.4081,-52.881,-46.2795,-36.2229,-42.6005,-46.3378,-42.674,-38.9124,-36.3636,-47.9203,-45.7785,-37.6289,-46.8015,-37.4719,-51.1771,-42.4898,-44.9802,-37.8751,-41.4907,-32.824,-43.6998,-39.0871,-41.9151,-50.0634,-59.4523,-37.0885,-40.7721,-35.7742,-42.4038,-48.3898,-56.0466,-63.456,-53.3572,-52.815,-50.6051,-38.2975,-32.6902,-43.2895,-42.3484,-47.3023,-38.8549,-41.8219,-45.0604,-41.7465,-37.4486,-50.512,-28.1134,-45.6213,-57.4761,-49.1998,-35.1008,-44.0037,-48.1058
-2684.06,0.743869,0.453307,3,7,0,2692.79,52.7516,28.8818,191.922,35.5015,110.518,80.285,51.3881,17.2072,64.4034,19.981,78.9133,93.2645,36.3581,26.6805,60.7817,0.277983,0.201975,-35.3676,-42.8988,-42.8099,-49.8479,-42.3265,-40.0809,-56.8945,-44.1742,-42.2442,-47.4202,-52.8821,-45.9711,-36.4666,-43.4695,-45.9399,-42.688,-38.8023,-36.3564,-48.0697,-45.3922,-37.656,-47.158,-37.6281,-51.7716,-42.1497,-44.4452,-37.4363,-41.4822,-32.9153,-43.3293,-39.027,-41.887,-49.3547,-59.7224,-37.0455,-40.2262,-35.3568,-42.4866,-48.4972,-55.7923,-64.5015,-54.093,-53.0975,-51.6612,-38.471,-32.5783,-43.6037,-42.3686,-47.6269,-39.4541,-41.1101,-45.0821,-41.1451,-37.5338,-50.3555,-28.2229,-45.574,-57.3304,-48.958,-35.3742,-43.8996,-48.085
-2683.12,0.999546,0.453307,3,7,0,2688.27,49.3197,29.6672,180.534,36.6845,88.5682,68.4559,52.7089,18.9102,57.5499,18.0991,77.5366,99.4904,25.4353,27.9966,54.8472,0.273471,0.184126,-34.8835,-42.266,-43.6072,-50.2458,-42.229,-39.8504,-57.0273,-44.1056,-41.7469,-47.5559,-52.8946,-45.9417,-35.6452,-42.052,-46.3726,-43.1715,-38.6143,-36.7101,-47.41,-45.6787,-37.9854,-47.425,-37.8604,-51.7133,-42.8435,-44.7852,-37.4551,-42.4227,-33.2633,-43.4458,-39.5632,-42.0666,-49.2188,-60.1504,-37.4349,-41.0922,-35.4324,-42.3639,-48.4552,-55.5213,-63.0953,-52.9533,-53.3725,-49.3543,-39.1487,-33.0573,-44.0055,-42.0173,-46.3662,-40.2378,-42.529,-44.0939,-41.0571,-37.4475,-50.777,-27.9072,-45.3712,-56.9216,-49.3578,-35.2012,-43.3354,-47.8754
-2686.18,0.715263,0.453307,3,7,0,2695.01,67.3649,30.4318,190.503,40.8523,129.929,79.9871,45.1966,20.4504,64.2779,27.5989,87.4192,90.6517,31.2117,29.6107,92.4115,0.314619,0.190731,-36.8919,-42.0366,-41.8713,-50.5277,-41.7879,-40.3339,-57.5776,-44.2919,-43.2333,-46.2723,-52.8661,-45.8455,-36.9663,-44.0232,-45.9917,-42.2984,-39.2245,-36.3535,-48.0371,-45.3246,-37.4362,-47.4905,-37.6768,-50.2863,-42.8071,-45.2684,-37.4273,-41.2862,-33.7175,-43.5693,-38.9881,-41.7344,-49.5042,-59.0854,-36.879,-40.9867,-35.729,-42.2149,-47.9194,-55.9718,-63.7786,-53.434,-52.8738,-50.8292,-38.4708,-32.7974,-43.6667,-43.4015,-48.1473,-39.5133,-41.8916,-45.5248,-41.9276,-37.5199,-49.8628,-28.1356,-45.4682,-57.7316,-49.0321,-36.0752,-43.6642,-47.3989
-2688.42,0.90354,0.453307,3,7,0,2695.51,52.302,34.7751,195.879,41.5125,106.292,76.9596,37.981,22.0172,63.6507,18.9218,90.4675,105.298,34.7851,29.8245,67.6603,0.316058,0.185014,-35.1671,-42.2652,-42.6182,-51.2411,-42.1223,-40.065,-56.4886,-43.5326,-42.5455,-47.1158,-53.6606,-46.0357,-35.9512,-42.6458,-45.8979,-43.0691,-38.6649,-36.7079,-47.4906,-46.0378,-38.1684,-46.6802,-38.2512,-52.5011,-43.9932,-45.4244,-37.5003,-42.3032,-33.7638,-43.7497,-39.0757,-41.7668,-49.387,-59.5494,-37.3707,-41.7718,-36.0205,-42.2688,-48.6984,-56.1298,-63.9887,-52.7056,-53.1342,-49.4364,-38.5308,-33.3624,-43.3033,-42.1915,-47.0133,-40.9924,-42.9236,-44.4891,-41.218,-37.9346,-50.5642,-27.6923,-45.4649,-57.469,-48.7553,-34.8462,-43.3828,-47.3995
